All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States Canada,,United States Canada,,United States Canada,,United States Canada,
,Professor,,Associate Professor,,Assistant Professor,,Not Ranked,
Number,1083,61,660,67,564,46,26,3
Average Salary,101772,94161,86405,74486,69976,64672,88596,-
Median Salary,92472,91129,83000,69228,70000,61035,79910,-
Average Salary and Housing,105212,95619,88965,75785,72136,66536,91866,-
Average Benefits,13536,7042,13556,4048,11843,3700,16207,-
Average Pension,7214,5040,6155,4982,5114,5520,7336,-
Total Compensation Average,125962,107701,108676,84816,89093,75756,115409,-
"Total Compensation 25th
Percentile",97833,83903,91253,70717,72400,66112,70000,-
Total Compensation Median,117345,109316,105281,80367,88351,72080,116705,-
"Total Compensation 75th
Percentile",145168,128473,126770,92983,104000,86313,141185,-
