Canada,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2014,,2019,,2022,,2023,
Enrollment size,N,%,N,%,N,%,N,%
< 75,16,39%,13,33%,14,38%,15,41%
75 - 150,12,29%,16,41%,13,35%,10,27%
151 - 300,8,20%,6,15%,7,19%,10,27%
301 - 500,2,5%,2,5%,2,5%,1,3%
501 - 1000,1,2%,1,3%,1,3%,1,3%
> 1000,0,-,0,-,0,-,0,-
Not Reporting,2,5%,1,3%,0,-,0,-
Total,41,100%,39,100%,37,100%,37,100%
