All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director of Continuing Education/Lifelong Learning,,,
Number,13,21,16
Average Salary,84500,85348,82038
Median Salary,74642,78265,87000
Average Salary and Housing,86807,88016,85163
Average Benefits,12084,13890,13697
Average Pension,4740,8091,9218
Total Average,103631,109997,108078
25th percentile,74642,68931,93853
Median,89225,105007,106987
75th percentile,126500,121640,130822
Director of Marketing,,,
Number,13,19,20
Average Salary,86370,74331,92816
Median Salary,69907,70000,80000
Average Salary and Housing,86370,74331,92816
Average Benefits,11738,10303,16199
Average Pension,8618,4370,8443
Total Average,106726,89004,117458
25th percentile,70706,70000,84873
Median,95547,87223,98636
75th percentile,108577,103605,143763
"Director of Online Education/Distance Learning/Digital
Learning",,,
Number,10,14,18
Average Salary,71252,78389,83129
Median Salary,75000,78000,74930
Average Salary and Housing,71252,78389,83607
Average Benefits,6001,12216,11084
Average Pension,4421,6935,7453
Total Average,81674,97539,102144
25th percentile,57500,69000,72400
Median,75493,93327,92204
75th percentile,107271,127109,118934
