"Table 2.12 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2023",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,MA,,ThM/STM,,"DMin/Other
Prof Dr",,PhD/ThD,,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
"Abilene Christian University Graduate School of
Theology",,64,31,60,17,3,2,18,14,0,0,17,5,162,69
Academy for Jewish Religion,,41,20,1,1,0,0,0,0,0,0,0,0,42,21
Acadia Divinity College,,53,39,26,12,0,0,32,11,0,0,60,32,171,94
Ambrose Seminary of Ambrose University,,39,33,102,76,0,0,0,0,0,0,0,0,141,109
America Evangelical University Seminary,,54,33,23,16,0,0,13,32,51,40,0,0,141,121
Anabaptist Mennonite Biblical Seminary,,42,23,67,25,0,0,7,4,0,0,31,9,147,61
Anderson University School of Theology,,22,12,35,13,0,0,0,0,0,0,3,1,60,26
Antiochian House of Studies,,44,10,0,0,107,5,0,0,9,5,74,5,234,25
Aquinas Institute of Theology,,27,27,37,15,0,0,29,10,0,0,8,2,101,54
Asbury Theological Seminary,,498,297,725,386,24,10,300,146,113,59,22,10,1682,908
Ashland Theological Seminary,,53,29,153,97,0,0,40,29,0,0,10,6,256,161
Assemblies of God Theological Seminary,,61,34,173,83,1,1,77,35,39,17,4,2,355,172
"Associated Canadian Theological Schools (ACTS)
of Trinity Western University",,53,30,171,77,4,1,33,0,0,0,31,9,292,117
Athenaeum of Ohio,,78,87,22,6,0,0,0,0,0,0,57,35,157,128
Atlantic School of Theology,,47,20,12,4,0,0,0,0,0,0,19,11,78,35
Augustine Institute,,0,0,393,126,0,0,0,0,0,0,24,7,417,133
Austin Presbyterian Theological Seminary,,66,61,48,24,0,0,52,6,0,0,0,0,166,91
Azusa Pacific Seminary,,81,57,34,21,0,0,79,44,0,0,1,0,195,122
"B. H. Carroll Theological Seminary at East Texas
Baptist University",,8,4,40,25,0,0,6,1,26,11,6,2,86,43
"Baptist Missionary Association Theological
Seminary",,25,12,13,4,0,0,0,0,0,0,0,0,38,16
Baptist Seminary of Kentucky,,50,30,0,0,0,0,0,0,0,0,4,2,54,32
"Barry University Department of Theology and
Philosophy",,0,0,8,4,0,0,8,4,0,0,0,0,16,8
Beeson Divinity School of Samford University,,102,95,19,11,0,0,2,1,0,0,2,1,125,108
Berkeley Divinity School,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley School of Theology (CA),,27,18,11,8,0,0,61,37,0,0,27,22,126,85
Bethany Theological Seminary,,21,12,30,15,0,0,0,0,0,0,31,12,82,39
Bethel Seminary of Bethel University,,76,32,154,75,0,0,54,31,0,0,15,5,299,143
"Bexley Hall Seabury-Western Theological Seminary
Federation, Inc.",,47,24,0,0,0,0,25,3,0,0,11,7,83,34
Boston College School of Theology and Ministry,,49,51,130,82,13,8,0,0,0,0,81,54,273,195
Boston University School of Theology,,117,115,44,42,17,15,54,34,52,44,15,5,299,255
Briercrest College and Seminary,,7,3,119,49,0,0,0,0,0,0,25,12,151,64
Brite Divinity School at Texas Christian University,,52,34,36,21,0,0,19,7,11,2,2,1,120,65
"Byzantine Catholic Seminary of SS. Cyril and
Methodius",,8,7,11,7,0,0,0,0,0,0,4,1,23,15
Calvin Theological Seminary,,73,52,93,26,24,8,20,9,37,14,46,9,293,118
Campbell University Divinity School,,53,42,45,27,0,0,19,16,0,0,2,1,119,86
Canadian Baptist Theological Seminary,,23,17,17,10,0,0,0,0,0,0,3,2,43,29
Canadian Reformed Theological Seminary,,28,37,0,0,0,0,0,0,0,0,0,0,28,37
Candler School of Theology of Emory University,,275,298,53,43,13,9,74,60,0,0,4,1,419,411
Carey Theological College,,21,6,23,8,0,0,10,5,0,0,15,3,69,22
"Catholic International University Graduate School of
Theology",,0,0,74,20,0,0,0,0,0,0,6,2,80,22
Catholic Theological Union,,87,71,69,31,0,0,31,24,0,0,6,2,193,128
"Catholic University of America School of Theology
and Religious Studies",,87,86,57,25,0,0,40,11,84,50,0,0,268,172
Central Baptist Theological Seminary,,103,63,58,35,0,0,70,53,0,0,110,112,341,263
