All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2014,,2019,,2022,,2023,
Enrollment size,N,%,N,%,N,%,N,%
< 75,108,39%,109,40%,120,43%,120,44%
75 - 150,81,30%,76,28%,79,28%,81,30%
151 - 300,44,16%,55,20%,49,18%,37,14%
301 - 500,21,8%,15,6%,13,5%,14,5%
501 - 1000,9,3%,10,4%,10,4%,14,5%
> 1000,6,2%,7,3%,7,3%,6,2%
Not Reporting,6,2%,3,1%,2,1%,2,1%
Total,275,100%,275,100%,280,100%,274,100%
