Table 2.8 Full-Time Equivalent Enrollment by Degree Category and Program,col_1,col_2,col_3,col_4,col_5
All Member Schools,,,,,
,2019,2020,2021,2022,2023
Master's Degree Programs,,,,,
MDiv,22005,22053,20238,19380,18763
MA (prof),8417,8592,8475,8364,7494
MA (acad),7108,7285,6087,6013,5207
MA (both),0,0,1102,1807,1583
Subtotal MA,15525,15877,15663,16184,14284
ThM/STM,761,793,744,728,484
Doctoral Degree Programs,,,,,
DMin,2894,2919,3210,3398,6595
Other Prof Dr,1439,1575,1596,1508,1043
Subtotal DMin and Other Prof Dr,4333,4494,4806,4906,7638
PhD/ThD,4116,3939,4017,4113,2870
Non-Degree Programs,,,,,
NonDegree,2073,2081,2405,2242,2359
Total,48813,49237,47873,47553,46398
