col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Director of Admissions,,,,,,
Number,5,14,6,7,1,3
Average Salary,61626,67188,67651,75222,-,-
Median Salary,-,61530,65104,71750,-,-
Average Salary and Housing,61626,67188,68484,75222,-,-
Average Benefits,4072,6091,13172,14037,-,-
Average Pension,2879,4072,6083,7469,-,-
Total Compensation Average,68577,77352,87739,96728,-,-
Total Compensation 25th Percentile,48305,57011,71678,57321,-,-
Total Compensation Median,64263,77920,77466,92269,-,-
Total Compensation 75th Percentile,72000,91204,115405,105873,-,-
Director of Advancement,,,,,,
Number,4,8,5,1,-,-
Average Salary,-,82328,129606,-,-,-
Median Salary,-,71641,-,-,-,-
Average Salary and Housing,-,82328,135606,-,-,-
Average Benefits,-,5440,10668,-,-,-
Average Pension,-,4342,9674,-,-,-
Total Compensation Average,-,92111,155948,-,-,-
Total Compensation 25th Percentile,-,70860,81318,-,-,-
Total Compensation Median,-,79440,125180,-,-,-
Total Compensation 75th Percentile,-,119900,141967,-,-,-
Director of Assessment,,,,,,
Number,11,8,8,1,7,2
Average Salary,55524,72324,89317,-,59861,-
Median Salary,56160,72411,73556,-,55699,-
Average Salary and Housing,55524,72324,89942,-,59861,-
Average Benefits,5848,3516,6663,-,11649,-
Average Pension,3761,5774,6285,-,6336,-
Total Compensation Average,65133,81614,102890,-,77846,-
Total Compensation 25th Percentile,53784,67529,73556,-,61808,-
Total Compensation Median,60394,81885,82001,-,73693,-
Total Compensation 75th Percentile,78000,85894,138500,-,90437,-
Business Office Manager,,,,,,
Number,9,10,5,2,6,1
Average Salary,46129,68410,86933,-,62245,-
Median Salary,42106,68000,-,-,52686,-
Average Salary and Housing,47329,68410,86933,-,62245,-
Average Benefits,7631,5775,4792,-,10238,-
Average Pension,2926,2609,4472,-,3880,-
Total Compensation Average,57886,76794,96197,-,76363,-
Total Compensation 25th Percentile,32999,64800,67665,-,77207,-
Total Compensation Median,52848,72080,68000,-,79076,-
Total Compensation 75th Percentile,72818,86954,107861,-,81151,-
