United States,col_1,col_2
,2023-2024,
,$,N
Director of Career/Placement Services,88538,15
Director of Recruitment/Retention,92288,14
"Director of Relations (Alum, External, Church)",90784,14
Director of Student Services/Affairs,81258,61
Accounting Staff,84132,33
Admissions Officer,79755,103
Alum Officer,93152,23
Business Office Staff,74176,30
Communications Staff,79897,60
Data Specialist,82497,8
Development Professional Staff,99134,135
Educational Technology Staff,79364,10
Financial Aid Officer,80263,55
HR Staff,91231,15
Developer,-,4
IT Help Desk Support,76009,9
Library Staff,78684,134
Network Administrator,83787,12
PC Technician,-,4
Recruitment Staff,80297,43
Registrar,81360,125
Title IX Coordinator,-,3
Faculty,,
Professor,126451,1060
Associate Professor,108591,654
Assistant Professor,89094,555
Not Ranked,115409,26
