col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Registrar,,,,,,
Number,54,51,21,8,12,4
Average Salary,61880,63960,72708,76193,62995,-
Median Salary,62788,62574,73000,65090,56646,-
Average Salary and Housing,61880,63960,72708,76193,62995,-
Average Benefits,8205,8206,9268,11945,8235,-
Average Pension,4119,4775,6060,6368,3846,-
Total Compensation Average,74204,76941,88036,94507,75077,-
Total Compensation 25th Percentile,57782,60260,64898,74800,55395,-
Total Compensation Median,74109,75264,91040,86407,68898,-
Total Compensation 75th Percentile,87421,89859,106500,98919,75658,-
Professor,,,,,,
Number,208,298,246,111,187,94
Average Salary,82777,90859,127314,117490,99745,92085
Median Salary,80325,91321,109273,96473,87060,87153
Average Salary and Housing,86128,95323,132328,121573,100284,92085
Average Benefits,9528,13306,9637,17324,17625,16510
Average Pension,4373,7484,6670,9157,8618,7568
Total Compensation Average,100029,116114,148635,148053,126527,116163
Total Compensation 25th Percentile,77000,93596,111167,102366,104264,99001
Total Compensation Median,99142,116620,138399,119372,115177,108155
Total Compensation 75th Percentile,118847,141014,182567,151723,137228,135288
Associate Professor,,,,,,
Number,120,195,189,60,109,54
Average Salary,75444,78665,97317,84339,90713,79336
Median Salary,74650,79160,95000,80194,83337,78046
Average Salary and Housing,77259,81620,101911,85855,90924,79336
Average Benefits,9951,11951,8884,15395,18250,20398
Average Pension,4399,6618,5777,5749,7215,6567
Total Compensation Average,91609,100189,116572,106999,116390,106301
Total Compensation 25th Percentile,71491,83810,95550,90026,97095,93119
Total Compensation Median,90536,98381,114200,104687,107665,101179
Total Compensation 75th Percentile,108628,118058,139380,129665,127904,114815
Assistant Professor,,,,,,
Number,160,181,122,54,46,47
Average Salary,64858,65976,73041,76879,78387,73487
Median Salary,64000,66301,75190,72000,72100,70000
Average Salary and Housing,67563,67934,77072,77342,78387,73487
Average Benefits,9555,10774,8963,12775,17242,16899
Average Pension,4632,5400,5148,4564,7070,4682
Total Compensation Average,81749,84109,91183,94682,102699,95068
Total Compensation 25th Percentile,66112,69092,70000,79058,82849,84336
Total Compensation Median,75801,82859,96507,88339,97000,90541
Total Compensation 75th Percentile,98739,98623,105446,113911,115550,104532
