Degree Category,Multi-Racial,col_2,col_3,Not Available,col_5,col_6,col_7,Total,col_9,col_10,col_11,Grand
Degree Program,M,F,O,M,F,O,U,M,F,O,U,Total
Master's Degree Programs,,,,,,,,,,,,
MDiv,343,177,15,2154,830,147,225,18253,7332,333,225,26143
MA (prof),95,152,1,992,1112,21,48,6387,7299,41,48,13775
MA (acad),140,90,2,876,574,29,18,6447,3941,87,18,10493
MA (both),26,34,0,495,440,2,77,2034,1637,9,77,3757
Subtotal MA,261,276,3,2363,2126,52,143,14868,12877,137,143,28025
ThM/STM,21,1,0,219,61,15,7,1039,225,17,7,1288
Doctoral Degree Programs,,,,,,,,,,,,
DMin,85,55,3,1171,298,11,51,7216,2584,35,51,9886
Other Prof Dr,10,10,0,167,108,0,3,861,557,0,3,1421
"Subtotal DMin and
Other Prof Dr",95,65,3,1338,406,11,54,8077,3141,35,54,11307
PhD/ThD,63,22,0,507,166,6,10,3191,976,22,10,4199
Non-Degree Programs,,,,,,,,,,,,
NonDegree,50,42,0,628,475,58,57,2930,2140,77,57,5204
Total,833,583,21,7209,4064,289,496,48358,26691,621,496,76166
