col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Director of Institutional Research,,,,,,
Number,-,1,5,-,-,-
Average Salary,-,-,65786,-,-,-
Median Salary,-,-,-,-,-,-
Average Salary and Housing,-,-,66786,-,-,-
Average Benefits,-,-,7299,-,-,-
Average Pension,-,-,5616,-,-,-
Total Compensation Average,-,-,79702,-,-,-
Total Compensation 25th Percentile,-,-,43000,-,-,-
Total Compensation Median,-,-,67277,-,-,-
Total Compensation 75th Percentile,-,-,109731,-,-,-
Director of IT,,,,,,
Number,18,27,12,7,10,4
Average Salary,80513,78424,107644,105376,107957,-
Median Salary,73223,82347,99300,93021,102401,-
Average Salary and Housing,80513,78424,107644,105376,107957,-
Average Benefits,11636,14033,13428,19746,16338,-
Average Pension,6969,6064,11122,9273,8704,-
Total Compensation Average,99119,98521,132193,134395,132999,-
Total Compensation 25th Percentile,80036,84041,111431,111106,104055,-
Total Compensation Median,93202,96799,121539,125719,134906,-
Total Compensation 75th Percentile,117986,116493,144840,135802,159050,-
Director of Library,,,,,,
Number,35,39,15,8,4,5
Average Salary,61213,76275,100588,81888,-,86940
Median Salary,61848,73753,105032,67651,-,-
Average Salary and Housing,61629,77095,102988,83949,-,86940
Average Benefits,8138,11393,10154,16928,-,15404
Average Pension,4192,5968,8860,7157,-,8043
Total Compensation Average,73959,94456,122003,108035,-,110387
Total Compensation 25th Percentile,52945,73586,97632,72831,-,86106
Total Compensation Median,73154,90159,113965,89397,-,101720
Total Compensation 75th Percentile,85278,111332,138402,102414,-,129960
Director of Continuing Education/Lifelong Learning,,,,,,
Number,6,20,18,2,3,1
Average Salary,75020,78121,86148,-,-,-
Median Salary,69321,74136,83200,-,-,-
Average Salary and Housing,80020,79122,90925,-,-,-
Average Benefits,9936,9957,18467,-,-,-
Average Pension,6649,5745,7585,-,-,-
Total Compensation Average,96605,94824,116977,-,-,-
Total Compensation 25th Percentile,73000,63350,93853,-,-,-
Total Compensation Median,87422,88347,114677,-,-,-
Total Compensation 75th Percentile,105007,108045,130967,-,-,-
