col_0,STATUS AT END OF CALENDAR YEAR,col_2
School Name,2022,2023
Alliance Theological Seminary,Accredited,Withdrawn
America Evangelical University Seminary,Associate,Accredited
Houston Graduate School of Theology,Accredited,Withdrawn
Oklahoma Christian University Graduate School of Theology,Associate,Withdrawn
Seattle University School of Theology and Ministry,Accredited,Withdrawn
SS. Cyril & Methodius Seminary,Accredited,Withdrawn
St. Patrick's Seminary and University,Accredited,Withdrawn
St. Stephen's College at the University of Alberta,Associate,Accredited
