Primary Racial/Ethnic Composition,United States,Canada,Total,% of Total
Asian-descent or Pacific Islander,11,2,13,5%
"Black (Non-Hispanic), African American,
African Canadian",19,0,19,7%
"Hispanic, Latino(a), Latin@",9,0,9,3%
"Indigenous, Native North American, First Nation",0,1,1,0%
"White (Non-Hispanic), Caucasian",154,20,174,64%
Multiracial,15,1,16,6%
Not Available,20,13,33,12%
Not Reported,1,0,1,0%
TOTAL,237,37,274,100%
