"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2016",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Canada,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Evangelical Lutheran Church in Canada,,2,,24,,0,,0,,3,,13,,3,
Evangelical Presbyterian Church,,2,,3,,0,,0,,2,,3,,2,
Fellowship of Evangelical Baptist Churches in Canada,,5,,66,,1,,1,,6,,87,,8,
Fellowship of Grace Brethren Churches,,0,,0,,0,,0,,0,,0,,0,
Foursquare Gospel Church,,1,,1,,0,,0,,1,,5,,2,
Free Methodist Church,,3,,7,,1,,1,,4,,12,,7,
"Friends, Quaker",,0,,0,,0,,0,,0,,0,,0,
General Association of General Baptists,,1,,2,,1,,2,,1,,1,,1,
General Association of Regular Baptist Churches,,0,,0,,0,,0,,0,,0,,0,
General Baptist State Convention of North Carolina,,0,,0,,0,,0,,0,,0,,0,
Greek Orthodox Archdiocese of America,,0,,0,,0,,0,,0,,0,,0,
Heritage Reformed Congregations (USA and Canada),,0,,0,,0,,0,,0,,0,,0,
Independent Baptist,,1,,1,,0,,0,,3,,11,,3,
Independent Methodist,,2,,2,,0,,0,,3,,4,,3,
Inter/Multidenominational,,5,,6,,3,,9,,4,,6,,8,
Jewish,,0,,0,,1,,2,,2,,2,,2,
Korean American Presbyterian Church,,2,,6,,0,,0,,2,,4,,2,
Korean Evangelical Holiness Church,,0,,0,,0,,0,,0,,0,,0,
Lutheran Church-Canada,,7,,24,,2,,7,,5,,13,,10,
Lutheran Church-Missouri Synod,,1,,3,,0,,0,,1,,3,,1,
"Lutheran, Other",,2,,2,,2,,3,,7,,10,,9,
Mennonite Brethren Church in North America,,4,,14,,5,,29,,9,,61,,11,
Mennonite Church Canada,,5,,10,,4,,11,,10,,27,,12,
Mennonite Church USA,,0,,0,,0,,0,,1,,3,,1,
"Mennonite, Other",,3,,5,,2,,11,,4,,5,,6,
Missionary Church in Canada,,4,,8,,3,,8,,4,,9,,7,
Moravian Church in North America,,0,,0,,0,,0,,0,,0,,0,
Muslim,,0,,0,,1,,12,,2,,11,,2,
National Association of Congregational Christian Churches,,0,,0,,0,,0,,0,,0,,0,
National Baptist Convention,,1,,1,,0,,0,,0,,0,,1,
Nondenominational,,12,,108,,6,,64,,15,,164,,16,
North American Baptist Conference,,1,,12,,2,,3,,6,,10,,8,
Orthodox Church in America,,0,,0,,0,,0,,0,,0,,0,
Orthodox Presbyterian,,0,,0,,0,,0,,0,,0,,0,
"Orthodox, Other",,3,,6,,0,,0,,4,,6,,5,
Other,,19,,195,,10,,189,,25,,771,,26,
Pentecostal Assemblies of Canada,,12,,76,,7,,34,,13,,140,,21,
Presbyterian Church (U.S.A.),,2,,2,,0,,0,,2,,6,,3,
Presbyterian Church in America,,3,,3,,0,,0,,2,,2,,4,
Presbyterian Church in Canada,,14,,116,,4,,18,,16,,93,,19,
Presbyterian Church International,,2,,2,,2,,2,,2,,6,,3,
Progressive National Baptist Convention,,0,,0,,0,,0,,0,,0,,0,
Reformed Church in America,,1,,1,,0,,0,,1,,2,,2,
Reformed Church in Canada,,3,,5,,1,,2,,2,,3,,4,
Reformed Episcopal Church,,1,,1,,0,,0,,0,,0,,1,
Reformed Presbyterian,,0,,0,,0,,0,,2,,3,,2,
Religious Society of Friends,,0,,0,,0,,0,,0,,0,,0,
Roman Catholic,,11,,193,,8,,169,,20,,296,,22,
Salvation Army,,3,,7,,2,,5,,6,,23,,8,
