col_0,STATUS AT END OF CALENDAR YEAR,col_2
School Name,2015,2016
Augustine Institute,Candidate,Accredited
Carolina Graduate School of Divinity,Accredited,Withdrawn
Central Baptist Theological Seminary of Minneapolis,Associate,Candidate
Christian Witness Theological Seminary,Candidate,Accredited
Grace Mission University Graduate School,Candidate,Accredited
Grand Canyon Theological Seminary,n/a,Associate
Holy Apostles College and Seminary,Associate,Candidate
Loyola University Chicago,Terminated,Associate
Palm Beach Atlantic University School of Ministry Graduate Department,n/a,Associate
Presbyterian Theological Seminary in America,Associate,Candidate
Queen's School of Religion,Accredited,Withdrawn
Seattle Pacific Seminary of Seattle Pacific University,Candidate,Accredited
Shepherds Theological Seminary,Candidate,Accredited
"Southeastern University, College of Christian Ministries and Religion
Department of Graduate Studies",n/a,Associate
University of Winnipeg Faculty of Theology,Accredited,Withdrawn
Villanova University Department of Theology and Religious Studies,n/a,Associate
