"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2016",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Advent Christian Church,,2,,6,,4,,7,,5,,8,,7,
African Methodist Episcopal,,76,,509,,27,,33,,48,,247,,90,
African Methodist Episcopal Zion,,26,,111,,4,,5,,14,,51,,31,
American Baptist Churches USA,,51,,229,,25,,66,,55,,233,,79,
Anglican Church of Canada,,13,,116,,13,,29,,29,,120,,36,
"Anglican, Other",,38,,181,,11,,26,,53,,370,,66,
Assemblies of God,,72,,425,,46,,279,,72,,603,,111,
Associate Reformed Presbyterian Church,,9,,33,,3,,4,,9,,22,,12,
Associated Gospel Churches of Canada,,5,,17,,4,,6,,5,,27,,9,
Baptist,,135,,1667,,87,,733,,142,,1701,,168,
Baptist Convention of Ontario and Quebec,,8,,28,,0,,0,,8,,50,,11,
Baptist General Association of Virginia,,3,,16,,3,,7,,3,,17,,3,
Baptist General Convention of Texas,,6,,310,,7,,33,,6,,80,,9,
Baptist Missionary Association of America,,27,,101,,12,,31,,15,,41,,36,
Baptist State Convention of North Carolina,,2,,7,,3,,7,,0,,0,,4,
"Brethren Church (Ashland, Ohio)",,3,,6,,2,,7,,3,,15,,5,
Brethren in Christ Church,,12,,29,,9,,15,,10,,24,,23,
Buddhist,,14,,41,,8,,25,,12,,38,,23,
Byzantine Catholic,,3,,17,,2,,6,,6,,13,,7,
Canadian Baptist of Western Canada,,5,,23,,2,,13,,4,,20,,7,
Canadian Baptists of Atlantic Canada,,2,,28,,1,,3,,4,,80,,5,
Canadian National Baptist Convention,,3,,11,,1,,2,,1,,3,,3,
Canadian Reformed Churches,,5,,18,,1,,1,,6,,7,,10,
Christian and Missionary Alliance,,43,,256,,32,,150,,40,,327,,61,
Christian Brethren (Plymouth Brethren),,2,,2,,3,,3,,12,,28,,13,
Christian Church (Disciples of Christ),,53,,304,,21,,75,,55,,196,,74,
Christian Churches and Churches of Christ,,26,,155,,13,,114,,27,,136,,42,
Christian Methodist Episcopal,,22,,56,,11,,11,,19,,44,,36,
Christian Reformed Church,,33,,209,,15,,65,,41,,175,,54,
"Church of God (Anderson, Indiana)",,18,,41,,14,,31,,17,,46,,33,
"Church of God (Cleveland, Tennessee)",,24,,84,,9,,88,,19,,233,,37,
Church of God in Christ,,30,,75,,18,,27,,25,,43,,48,
Church of the Brethren,,11,,39,,7,,16,,18,,42,,29,
Church of the Nazarene,,31,,259,,22,,114,,43,,193,,58,
Churches of Christ,,41,,233,,30,,177,,46,,209,,74,
"Churches of God, General Conference",,17,,40,,12,,31,,18,,47,,32,
Conference of Mennonites,,2,,22,,2,,8,,3,,16,,5,
Conservative Baptist Association of America,,8,,21,,9,,13,,13,,55,,17,
Converge Worldwide,,6,,43,,7,,39,,5,,33,,9,
Cooperative Baptist Fellowship,,14,,122,,2,,5,,12,,53,,19,
Cumberland Presbyterian Church,,9,,34,,1,,1,,7,,15,,13,
Episcopal Church,,80,,610,,37,,93,,79,,583,,115,
Evangelical Church in Canada,,2,,9,,4,,8,,9,,23,,12,
Evangelical Congregational Church,,10,,27,,12,,29,,16,,30,,24,
Evangelical Covenant Church,,31,,128,,17,,89,,29,,87,,48,
Evangelical Formosan Church,,2,,4,,1,,7,,2,,15,,3,
Evangelical Free Church of America,,45,,174,,25,,110,,42,,253,,61,
Evangelical Free Church of Canada,,4,,14,,4,,17,,8,,27,,9,
Evangelical Lutheran Church in America,,54,,798,,28,,99,,57,,412,,86,
