"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2016",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
United States,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Seventh Day Baptist General Conference,,3,,3,,2,,2,,0,,0,,5,
Seventh-day Adventist,,24,,447,,9,,667,,40,,609,,54,
Southern Baptist Convention,,61,,4835,,35,,1689,,56,,4369,,77,
"Swedenborgian Church, General Convention",,4,,6,,0,,0,,2,,2,,5,
Unitarian Universalist,,35,,261,,9,,15,,27,,62,,44,
United Church of Canada,,1,,2,,0,,0,,8,,12,,9,
United Church of Christ,,59,,409,,20,,34,,52,,225,,75,
United Methodist Church,,109,,2552,,70,,344,,109,,1150,,140,
United Pentecostal Church International,,20,,121,,16,,72,,19,,89,,28,
Wesleyan Church,,21,,192,,17,,104,,25,,87,,42,
Wisconsin Evangelical Lutheran Synod,,1,,1,,0,,0,,4,,6,,5,
"Total 222 27,450 159 11,404 219 27,610 232",,,,,,,,,,,,,,,
