"Table 2.15 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2016",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,"Ministerial
Non-MDiv",,"General
Theological",,"Advanced
Ministerial",,"Advanced
Research",,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Methodist Theological School in Ohio,,81,72,46,35,6,4,19,6,0,0,6,1,158,118
Mid-America Reformed Seminary,,25,23,0,0,1,1,0,0,0,0,0,0,26,24
Midwest University Graduate School of Theology,,19,14,0,0,0,0,34,11,0,0,0,0,53,25
Midwestern Baptist Theological Seminary,,363,197,116,102,357,175,461,230,311,307,0,0,1608,1011
Montreal School of Theology,,41,30,0,0,0,0,0,0,0,0,0,0,41,30
Moody Theological Seminary,,285,234,205,154,107,73,0,0,0,0,48,21,645,482
Moravian Theological Seminary,,30,23,19,10,23,10,0,0,0,0,0,0,72,43
Mount Angel Seminary,,80,79,0,0,20,5,0,0,0,0,0,0,100,84
Mount Saint Mary's Seminary,,89,89,0,0,26,26,0,0,0,0,1,0,116,115
Multnomah Biblical Seminary,,77,45,43,19,30,15,28,9,5,3,4,1,187,92
Nashotah House,,23,22,11,9,15,15,28,9,9,5,0,0,86,60
Nazarene Theological Seminary,,154,83,31,18,20,11,38,13,0,0,0,0,243,125
"Neal T. Jones Seminary of Washington University of
Virginia",,35,26,72,58,0,0,5,2,0,0,0,0,112,86
New Brunswick Theological Seminary,,103,63,0,0,18,11,12,4,0,0,0,0,133,78
New Orleans Baptist Theological Seminary,,888,533,241,100,84,25,163,82,104,104,0,0,1480,844
New York Theological Seminary,,146,115,90,66,0,0,101,34,0,0,0,0,337,215
Newman Theological College,,41,37,76,38,7,3,0,0,2,1,0,0,126,79
North Park Theological Seminary,,90,58,50,23,6,3,1,0,0,0,0,0,147,84
Northeastern Seminary at Roberts Wesleyan College,,55,47,13,9,21,16,32,11,0,0,0,0,121,83
Northern Baptist Theological Seminary,,58,22,36,23,46,28,67,22,0,0,1,0,208,95
Northwest Baptist Seminary,,53,53,0,0,0,0,24,8,0,0,0,0,77,61
"Northwest Nazarene University School of Theology and
Christian Ministries (Graduate)",,55,38,35,24,0,0,0,0,0,0,0,0,90,62
Notre Dame Seminary,,96,92,7,7,30,30,0,0,0,0,99,28,232,157
Oblate School of Theology,,66,61,18,8,25,10,6,2,12,12,0,0,127,93
"Oklahoma Christian University Graduate School of
Theology",,14,10,9,5,19,11,0,0,0,0,0,0,42,26
Oral Roberts University College of Theology and Ministry,,129,107,94,67,15,10,87,29,0,0,0,0,325,213
Pacific Lutheran Theological Seminary,,42,41,0,0,1,1,0,0,0,0,4,4,47,46
Pacific School of Religion,,67,67,0,0,28,19,18,6,0,0,25,16,138,108
"Palm Beach Atlantic University School of Ministry
Graduate Department",,43,35,0,0,3,1,0,0,0,0,0,0,46,36
Palmer Theological Seminary,,131,100,0,0,82,57,15,5,0,0,4,1,232,163
Payne Theological Seminary,,141,112,0,0,0,0,49,16,0,0,0,0,190,128
Pentecostal Theological Seminary,,51,33,93,60,36,22,64,21,0,0,127,52,371,188
Perkins School of Theology,,160,112,29,14,26,11,56,20,34,33,10,3,315,193
Phillips Theological Seminary,,47,36,4,2,13,8,25,8,0,0,2,1,91,55
Phoenix Seminary,,89,77,73,50,17,14,10,3,0,0,9,3,198,147
Pittsburgh Theological Seminary,,96,81,8,6,10,5,77,26,3,2,6,2,200,122
Pontifical College Josephinum,,60,14,0,0,6,3,0,0,0,0,0,0,66,17
Pope St. John XXIII National Seminary,,58,58,0,0,0,0,0,0,0,0,0,0,58,58
Portland Seminary,,67,44,83,48,29,21,161,54,0,0,0,0,340,167
Presbyterian Theological Seminary in America,,92,49,0,0,0,0,0,0,0,0,0,0,92,49
Princeton Theological Seminary,,390,386,14,14,48,48,0,0,106,101,4,2,562,551
Providence Theological Seminary,,25,14,135,58,3,1,16,5,0,0,0,0,179,78
Puritan Reformed Theological Seminary,,28,23,0,0,14,7,0,0,42,15,94,7,178,52
Queen's College Faculty of Theology,,5,5,0,0,16,5,0,0,3,1,67,35,91,46
Reformed Episcopal Seminary,,23,20,0,0,0,0,0,0,0,0,0,0,23,20
Reformed Presbyterian Theological Seminary,,60,39,0,0,25,11,27,9,0,0,11,3,123,62
Reformed Theological Seminary,,388,264,96,74,331,119,175,58,0,0,69,21,1059,536
