"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2016",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Canada,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Seventh Day Baptist General Conference,,0,,0,,0,,0,,1,,1,,1,
Seventh-day Adventist,,2,,7,,2,,2,,5,,8,,8,
Southern Baptist Convention,,4,,6,,0,,0,,3,,6,,5,
"Swedenborgian Church, General Convention",,0,,0,,0,,0,,0,,0,,0,
Unitarian Universalist,,4,,5,,2,,4,,3,,9,,5,
United Church of Canada,,10,,112,,4,,24,,12,,99,,16,
United Church of Christ,,1,,5,,1,,1,,1,,6,,2,
United Methodist Church,,1,,1,,1,,2,,3,,10,,3,
United Pentecostal Church International,,1,,3,,1,,1,,2,,10,,3,
Wesleyan Church,,3,,5,,1,,4,,7,,14,,8,
Wisconsin Evangelical Lutheran Synod,,0,,0,,0,,0,,0,,0,,0,
"Total 35 1,608 18 804 33 2,757 37",,,,,,,,,,,,,,,
