"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2016",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Evangelical Lutheran Church in Canada,,4,,27,,0,,0,,5,,17,,7,
Evangelical Presbyterian Church,,29,,108,,12,,34,,27,,105,,42,
Fellowship of Evangelical Baptist Churches in Canada,,6,,67,,1,,1,,7,,88,,10,
Fellowship of Grace Brethren Churches,,3,,3,,4,,10,,7,,17,,8,
Foursquare Gospel Church,,21,,42,,13,,35,,17,,58,,30,
Free Methodist Church,,17,,59,,14,,29,,22,,65,,37,
"Friends, Quaker",,13,,24,,6,,8,,12,,14,,25,
General Association of General Baptists,,12,,35,,7,,11,,12,,35,,16,
General Association of Regular Baptist Churches,,1,,1,,1,,1,,7,,11,,8,
General Baptist State Convention of North Carolina,,1,,1,,0,,0,,1,,1,,2,
Greek Orthodox Archdiocese of America,,6,,66,,2,,2,,9,,34,,14,
Heritage Reformed Congregations (USA and Canada),,1,,1,,1,,4,,1,,5,,2,
Independent Baptist,,27,,81,,14,,21,,31,,175,,41,
Independent Methodist,,17,,35,,10,,32,,16,,63,,27,
Inter/Multidenominational,,45,,188,,21,,109,,31,,200,,56,
Jewish,,11,,17,,7,,8,,21,,55,,32,
Korean American Presbyterian Church,,26,,238,,13,,111,,25,,204,,33,
Korean Evangelical Holiness Church,,5,,16,,3,,11,,5,,27,,7,
Lutheran Church-Canada,,7,,24,,2,,7,,6,,14,,11,
Lutheran Church-Missouri Synod,,15,,386,,10,,47,,25,,393,,34,
"Lutheran, Other",,32,,86,,22,,44,,52,,207,,70,
Mennonite Brethren Church in North America,,7,,20,,11,,39,,14,,70,,20,
Mennonite Church Canada,,6,,12,,5,,12,,11,,28,,15,
Mennonite Church USA,,19,,68,,10,,26,,18,,39,,34,
"Mennonite, Other",,17,,30,,10,,22,,19,,35,,26,
Missionary Church in Canada,,6,,10,,4,,9,,5,,10,,10,
Moravian Church in North America,,6,,16,,1,,1,,2,,2,,7,
Muslim,,7,,15,,6,,18,,17,,137,,23,
National Association of Congregational Christian Churches,,6,,8,,3,,3,,7,,10,,13,
National Baptist Convention,,40,,110,,9,,13,,33,,73,,56,
Nondenominational,,127,,2405,,85,,2168,,129,,2843,,155,
North American Baptist Conference,,10,,29,,7,,17,,15,,23,,23,
Orthodox Church in America,,3,,34,,2,,4,,2,,12,,6,
Orthodox Presbyterian,,13,,54,,5,,7,,14,,52,,18,
"Orthodox, Other",,12,,55,,4,,6,,23,,81,,31,
Other,,172,,2970,,108,,1903,,187,,6028,,210,
Pentecostal Assemblies of Canada,,20,,88,,13,,48,,19,,163,,32,
Presbyterian Church (U.S.A.),,102,,976,,56,,194,,99,,835,,131,
Presbyterian Church in America,,48,,697,,20,,223,,41,,602,,63,
Presbyterian Church in Canada,,15,,118,,5,,19,,18,,95,,22,
Presbyterian Church International,,11,,41,,5,,9,,18,,131,,22,
Progressive National Baptist Convention,,11,,14,,1,,1,,11,,13,,19,
Reformed Church in America,,30,,200,,15,,28,,33,,105,,46,
Reformed Church in Canada,,4,,6,,1,,2,,3,,4,,5,
Reformed Episcopal Church,,6,,14,,1,,1,,7,,13,,11,
Reformed Presbyterian,,10,,76,,4,,8,,21,,73,,26,
Religious Society of Friends,,8,,33,,2,,3,,8,,15,,16,
Roman Catholic,,96,,2770,,68,,1147,,117,,3158,,158,
Salvation Army,,13,,23,,9,,29,,18,,64,,28,
