Membership Status,2007,2012,2015,2016
"Accredited United States 198 207 209 213
Canada 33 33 36 34
Total 231 240 245 247",,,,
"Candidate United States 7 9 13 11
Canada 1 1 2 2
Total 8 10 15 13",,,,
"Associate United States 11 17 8 10
Canada 2 6 3 3
Total 13 23 11 13",,,,
"Totals United States 216 233 230 234
Canada 36 40 41 39
All Schools 252 273 271 273",,,,
