"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2016",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Seventh Day Baptist General Conference,,3,,3,,2,,2,,1,,1,,6,
Seventh-day Adventist,,26,,454,,11,,669,,45,,617,,62,
Southern Baptist Convention,,65,,4841,,35,,1689,,59,,4375,,82,
"Swedenborgian Church, General Convention",,4,,6,,0,,0,,2,,2,,5,
Unitarian Universalist,,39,,266,,11,,19,,30,,71,,49,
United Church of Canada,,11,,114,,4,,24,,20,,111,,25,
United Church of Christ,,60,,414,,21,,35,,53,,231,,77,
United Methodist Church,,110,,2553,,71,,346,,112,,1160,,143,
United Pentecostal Church International,,21,,124,,17,,73,,21,,99,,31,
Wesleyan Church,,24,,197,,18,,108,,32,,101,,50,
Wisconsin Evangelical Lutheran Synod,,1,,1,,0,,0,,4,,6,,5,
"Total 257 29,058 177 12,208 252 30,367 269",,,,,,,,,,,,,,,
