col_0,col_1,col_2,col_3,col_4,col_5,Expenditures,col_7,LT,col_9,col_10,Library,col_12,col_13,col_14,col_15
,,,,Prov./,,E&G,Total,Invest,Faculty,,Volumes,Enrollment,,MDiv,
Name,Status,IUC,Race,State,Denom,$thousands,,$millions,FT,FTE,(000),HC,FTE,Tuition,Fees
Nashotah House,ACCRED,I,W,WI,EPISC,4619,5189,8,8,12,118,122,86,13350,300
Nazarene Theological Seminary,ACCRED,I,W,MO,CHNAZ,3945,4114,10,11,17,115,260,138,10260,0
New Brunswick Theological Seminary,ACCRED,I,M,NJ,RFCHAM,3547,3767,10,7,15,168,170,101,10560,880
New Orleans Baptist Theological Seminary,ACCRED,I,W,LA,SBC,19587,24830,59,66,80,284,1586,1238,4410,540
New York Theological Seminary,ACCRED,I,M,NY,INTER,5478,5913,0,10,10,0,396,249,12800,400
Newman Theological College,ACCRED,I,W,AB,RC,2577,3018,15,4,9,76,112,66,6210,1068
North Park Theological Seminary,ACCRED,C,W,IL,EVCOV,4261,4261,0,11,11,254,157,90,11845,500
Northeastern Seminary at Roberts Wesleyan College,ACCRED,C,N,NY,INTER,1517,1517,3,7,8,145,162,114,10442,775
Northern Baptist Theological Seminary,ACCRED,I,W,IL,ABCUSA,3246,3969,18,6,18,57,205,85,12960,360
Northwest Baptist Seminary,CAND,I,W,BC,FEVBAPT,546,546,4,4,5,0,20,20,12905,410
"Northwest Nazarene University School of Theology and
Christian Ministries (Graduate)",ASSOC,U,W,ID,CHNAZ,929,929,0,6,6,136,111,79,8959,284
Notre Dame Seminary,ACCRED,I,W,LA,RC,4621,5116,5,14,20,101,180,149,19715,550
Oblate School of Theology,ACCRED,I,W,TX,RC,5299,7260,18,20,22,105,147,130,8480,745
Oklahoma Christian University Graduate School of Theology,ASSOC,U,W,OK,CHUCHR,212,212,0,2,3,174,56,15,8900,0
Oral Roberts University College of Theology and Ministry,ACCRED,U,N,OK,INTER,4040,4040,0,17,23,79,318,180,14904,483
Pacific Lutheran Theological Seminary,ACCRED,I,W,CA,ELCA,3707,3878,12,9,12,0,100,76,13600,0
Pacific School of Religion,ACCRED,I,W,CA,INTER,7092,8163,39,14,22,0,187,128,680,195
Palmer Theological Seminary,ACCRED,I,B,PA,ABCUSA,5662,5662,15,13,22,79,302,198,15400,170
Payne Theological Seminary,ACCRED,I,B,OH,AME,1878,1878,0,4,12,38,135,105,12000,200
Pentecostal Theological Seminary,ACCRED,I,W,TN,COGCLEV,3919,3956,14,13,17,34,200,124,12427,208
Perkins School of Theology,ACCRED,U,W,TX,UMC,17435,17435,184,29,30,381,407,290,13366,3891
Phillips Theological Seminary,ACCRED,I,W,OK,DISCPL,4579,4579,48,11,17,104,126,72,9372,480
Phoenix Seminary,ACCRED,I,W,AZ,INTER,4317,5011,2,7,9,51,196,91,13787,210
Pittsburgh Theological Seminary,ACCRED,I,W,PA,PCUSA,10491,12179,182,18,25,302,246,172,11520,198
Pontifical College Josephinum,ACCRED,C,N,OH,RC,7169,7994,26,12,12,145,90,90,23064,9613
Pope St. John XXIII National Seminary,ACCRED,I,W,MA,RC,3519,3519,6,6,10,69,57,57,25500,0
Presbyterian Theological Seminary in America,ASSOC,I,V,CA,KAPC,0,0,0,2,12,29,156,94,6860,0
Princeton Theological Seminary,ACCRED,I,W,NJ,PCUSA,50812,59405,941,38,46,716,502,490,11500,1300
Providence Theological Seminary,ACCRED,C,W,MB,INTER,1757,2212,0,11,15,80,171,69,10500,833
Puritan Reformed Seminary,CAND,I,V,MI,HERREF,2052,2148,0,5,7,65,162,54,6469,0
Queen's College Faculty of Theology,ASSOC,I,W,NL,ANGL,387,387,3,0,3,1938,49,17,4750,0
Queen's School of Religion,ACCRED,I,W,ON,UCCAN,1640,1640,0,9,11,2742,32,17,5709,1165
Redeemer Theological Seminary,ACCRED,I,N,TX,INTER,3113,3113,0,14,18,23,149,97,8510,80
Reformed Episcopal Seminary,ACCRED,I,M,PA,RFEPISC,523,523,0,5,7,30,28,19,6300,375
Reformed Presbyterian Theological Seminary,ACCRED,I,W,PA,RFPRES,1587,1632,2,3,5,79,82,51,10692,0
Reformed Theological Seminary,ACCRED,I,W,MS,INTER,19114,19702,54,29,52,296,1046,511,15370,160
Regent College,ACCRED,I,W,BC,INTER,9746,10615,17,15,22,149,459,233,16066,828
Regent University School of Divinity,ACCRED,U,N,VA,INTER,7304,7456,0,19,22,151,933,460,11880,670
Regis College,ACCRED,I,W,ON,RC,2536,2536,6,12,15,80,185,97,5800,1528
Sacred Heart Major Seminary,ACCRED,I,W,MI,RC,4553,4553,0,21,32,153,151,98,24500,100
Sacred Heart School of Theology,ACCRED,I,V,WI,RC,6325,7299,9,11,15,98,134,122,15750,0
Saint Mary Seminary and Graduate School of Theology,ACCRED,I,W,OH,RC,2242,2242,1,10,15,79,84,58,10120,9735
Saint Meinrad School of Theology,ACCRED,C,W,IN,RC,7243,9740,39,21,24,179,245,175,19920,2368
Saint Paul School of Theology,ACCRED,I,W,KS,UMC,15590,16047,29,13,17,116,193,96,17100,1500
Saint Paul Seminary School of Divinity,ACCRED,U,W,MN,RC,6416,6416,22,11,13,108,140,112,19009,58
Saint Paul University Faculty of Theology,CAND,U,N,ON,RC,1976,1976,0,13,26,506,74,56,0,0
Saint Vincent Seminary,ACCRED,C,W,PA,RC,2269,2665,11,5,8,109,59,57,23398,0
Samuel DeWitt Proctor School of Theology,ACCRED,C,B,VA,BAPT,1698,1698,0,15,20,122,390,360,13650,0
San Francisco Theological Seminary,ACCRED,I,W,CA,PCUSA,6765,8447,46,14,20,0,155,90,12000,200
