Membership Status,2004,2009,2012,2013
"Accredited United States 188 200 207 207
Canada 31 33 33 34
Total 219 233 240 241",,,,
"Candidate United States 11 7 9 5
Canada 3 1 1 2
Total 14 8 10 7",,,,
"Associate United States 15 6 17 15
Canada 2 2 6 4
Total 17 8 23 19",,,,
"Totals United States 214 213 233 227
Canada 36 36 40 40
All Schools 250 249 273 267",,,,
