"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2013",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Canada,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Seventh Day Baptist General Conference,,0,,0,,0,,0,,0,,0,,0,
Seventh-day Adventist,,1,,3,,1,,2,,4,,6,,5,
Southern Baptist Convention,,2,,2,,1,,1,,4,,9,,5,
"Swedenborgian Church, General Convention",,0,,0,,0,,0,,0,,0,,0,
Unitarian Universalist,,3,,5,,3,,5,,3,,24,,6,
United Church of Canada,,12,,164,,5,,22,,14,,165,,17,
United Church of Christ,,1,,5,,0,,0,,1,,1,,2,
United Methodist Church,,0,,0,,0,,0,,3,,9,,3,
United Pentecostal Church International,,2,,3,,0,,0,,1,,8,,2,
Wesleyan Church,,1,,1,,0,,0,,3,,5,,3,
Wisconsin Evangelical Lutheran Synod,,0,,0,,0,,0,,0,,0,,0,
"Total 35 1,583 19 803 36 2,742 38",,,,,,,,,,,,,,,
