"Table 2.15 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2013",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,"Ministerial
Non-MDiv",,"General
Theological",,"Advanced
Ministerial",,"Advanced
Research",,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Abilene Christian University,,44,21,45,29,28,16,22,7,0,0,0,0,139,73
Acadia Divinity College,,48,29,0,0,24,12,81,27,0,0,48,17,201,85
Alliance Theological Seminary,,460,245,175,82,46,24,80,27,0,0,15,5,776,383
Ambrose Seminary of Ambrose University College,,49,47,45,30,17,14,0,0,0,0,72,38,183,129
American Baptist Seminary of the West,,34,22,11,9,1,1,29,10,0,0,1,1,76,43
Anabaptist Mennonite Biblical Seminary,,56,34,7,3,11,7,0,0,0,0,27,5,101,49
Anderson University School of Theology,,41,29,48,22,20,12,22,7,0,0,2,1,133,71
Andover Newton Theological School,,168,120,4,3,30,17,45,15,0,0,26,7,273,162
Aquinas Institute of Theology,,28,28,57,28,11,6,32,11,0,0,22,6,150,79
Asbury Theological Seminary,,790,393,255,118,92,42,140,51,113,109,38,9,"1,428",722
Ashland Theological Seminary,,144,117,241,200,28,17,238,79,0,0,24,11,675,424
Assemblies of God Theological Seminary,,63,49,74,68,23,16,149,64,43,43,0,0,352,240
Associated Canadian Theological Schools,,42,21,124,55,44,18,13,4,1,0,43,11,267,109
Athenaeum of Ohio,,39,39,36,19,16,6,0,0,0,0,117,57,208,121
Atlantic School of Theology,,68,50,0,0,19,15,0,0,0,0,30,13,117,78
Augustine Institute,,0,0,0,0,209,102,0,0,0,0,17,7,226,109
Austin Presbyterian Theological Seminary,,119,97,4,3,11,7,43,14,0,0,14,7,191,128
Azusa Pacific Seminary,,188,112,59,31,30,13,46,15,0,0,0,0,323,171
Baptist Missionary Association Theological Seminary,,27,19,16,7,23,9,0,0,0,0,0,0,66,35
Baptist Seminary of Kentucky,,27,20,0,0,0,0,0,0,0,0,4,2,31,22
Baptist Theological Seminary at Richmond,,70,45,0,0,6,2,15,5,0,0,9,4,100,56
Barry University Department of Theology and Philosophy,,0,0,75,35,0,0,45,15,0,0,0,0,120,50
Beeson Divinity School of Samford University,,146,111,0,0,13,11,32,11,0,0,2,1,193,134
Berkeley Divinity School,,0,0,0,0,0,0,0,0,0,0,56,54,56,54
Bethany Theological Seminary,,47,30,0,0,5,2,0,0,0,0,10,4,62,36
Bethel Seminary of Bethel University,,303,129,243,109,115,45,102,34,0,0,22,11,785,328
"Bexley Hall Seabury-Western Theological Seminary
Federation, Inc.",,14,13,0,0,0,0,23,8,0,0,11,3,48,24
Biblical Theological Seminary,,134,134,52,44,25,22,31,10,0,0,52,18,294,228
Boston College School of Theology and Ministry,,81,56,59,53,75,73,0,0,12,11,55,42,282,235
Boston University School of Theology,,133,120,7,6,54,46,9,3,104,96,0,0,307,271
Briercrest College and Seminary,,8,4,60,34,16,8,0,0,0,0,14,14,98,60
Brite Divinity School,,126,94,10,7,14,10,12,4,50,47,3,2,215,164
Byzantine Catholic Seminary of SS. Cyril and Methodius,,6,6,0,0,6,6,0,0,0,0,0,0,12,12
Calvin Theological Seminary,,131,125,14,14,21,17,0,0,92,92,48,24,306,272
Campbell University Divinity School,,150,124,9,5,0,0,19,6,0,0,4,1,182,136
Canadian Reformed Theological Seminary,,17,17,0,0,0,0,0,0,0,0,0,0,17,17
Canadian Southern Baptist Seminary,,19,10,12,6,6,3,0,0,0,0,0,0,37,19
Candler School of Theology of Emory University,,340,337,0,0,47,42,0,0,36,31,18,8,441,418
Carey Theological College,,70,23,47,16,0,0,36,12,0,0,0,0,153,51
Carolina Graduate School of Divinity,,13,6,6,4,4,1,20,7,0,0,0,0,43,18
Catholic Theological Union,,121,77,127,58,49,28,47,16,0,0,0,0,344,179
"Catholic University of America School of Theology and
Religious Studies",,56,55,0,0,23,16,29,10,162,162,5,4,275,247
Central Baptist Theological Seminary,,179,156,0,0,14,8,68,23,0,0,0,0,261,187
Chapman Seminary,,16,9,0,0,0,0,3,1,0,0,0,0,19,10
Chicago Theological Seminary,,95,55,8,5,15,5,45,15,71,57,0,0,234,137
China Evangelical Seminary North America,,26,13,0,0,59,10,8,3,5,2,0,0,98,28
Christ The King Seminary,,32,17,35,15,26,7,0,0,0,0,2,1,95,40
Christian Theological Seminary,,85,71,59,41,15,9,7,2,0,0,0,0,166,123
