"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2013",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
United States,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Seventh Day Baptist General Conference,,2,,2,,1,,1,,1,,1,,4,
Seventh-day Adventist,,24,,477,,15,,636,,40,,513,,56,
Southern Baptist Convention,,67,,5037,,44,,1345,,57,,4206,,85,
"Swedenborgian Church, General Convention",,2,,3,,0,,0,,1,,2,,2,
Unitarian Universalist,,32,,292,,6,,8,,28,,67,,41,
United Church of Canada,,1,,1,,0,,0,,8,,18,,9,
United Church of Christ,,75,,515,,22,,36,,65,,256,,94,
United Methodist Church,,103,,2873,,66,,396,,110,,1313,,139,
United Pentecostal Church International,,24,,71,,10,,49,,20,,51,,33,
Wesleyan Church,,17,,160,,15,,86,,28,,77,,33,
Wisconsin Evangelical Lutheran Synod,,0,,0,,1,,1,,4,,5,,5,
"Total 215 29,433 149 10,341 209 27,046 223",,,,,,,,,,,,,,,
