"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2013",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
United States,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Advent Christian Church,,3,,8,,1,,3,,5,,9,,7,
African Methodist Episcopal,,71,,521,,21,,30,,49,,223,,83,
African Methodist Episcopal Zion,,29,,107,,3,,3,,16,,56,,35,
American Baptist Churches USA,,54,,330,,27,,102,,66,,304,,82,
Anglican Church of Canada,,2,,2,,2,,2,,10,,19,,12,
"Anglican, Other",,32,,155,,14,,29,,36,,157,,53,
Assemblies of God,,73,,402,,47,,217,,66,,569,,100,
Associate Reformed Presbyterian Church,,12,,48,,7,,8,,11,,35,,17,
Associated Gospel Churches of Canada,,0,,0,,0,,0,,0,,0,,0,
Baptist,,110,,1937,,71,,566,,111,,1376,,140,
Baptist Convention of Ontario and Quebec,,0,,0,,0,,0,,2,,3,,2,
Baptist General Association of Virginia,,3,,21,,2,,5,,3,,24,,4,
Baptist General Conference,,28,,101,,15,,75,,26,,145,,40,
Baptist General Convention of Texas,,3,,53,,1,,13,,3,,30,,4,
Baptist Missionary Association of America,,30,,73,,10,,29,,16,,40,,39,
Baptist State Convention of North Carolina,,2,,24,,1,,3,,0,,0,,3,
"Brethren Church (Ashland, Ohio)",,3,,6,,4,,11,,8,,22,,9,
Brethren in Christ Church,,7,,11,,4,,5,,6,,8,,13,
Buddhist,,8,,23,,1,,7,,6,,22,,12,
Byzantine Catholic Archeparchy of Pittsburgh,,1,,6,,2,,2,,5,,7,,7,
Canadian Baptist of Western Canada,,1,,1,,0,,0,,2,,2,,3,
Canadian Convention of Southern Baptists,,0,,0,,0,,0,,0,,0,,0,
Canadian Reformed Churches,,1,,1,,1,,1,,0,,0,,2,
Christian and Missionary Alliance,,34,,177,,24,,122,,35,,227,,53,
Christian Brethren (Plymouth Brethren),,2,,2,,1,,3,,6,,8,,9,
Christian Church (Disciples of Christ),,58,,384,,23,,65,,57,,178,,76,
Christian Churches and Churches of Christ,,30,,150,,15,,109,,33,,215,,46,
Christian Methodist Episcopal,,27,,85,,6,,6,,20,,64,,39,
Christian Reformed Church,,31,,183,,12,,47,,27,,136,,41,
"Church of God (Anderson, Indiana)",,24,,66,,9,,53,,21,,56,,37,
"Church of God (Cleveland, Tennessee)",,12,,73,,10,,91,,15,,68,,26,
Church of God in Christ,,40,,111,,17,,30,,21,,66,,50,
Church of the Brethren,,12,,53,,4,,4,,10,,21,,21,
Church of the Nazarene,,30,,271,,23,,123,,39,,185,,59,
Churches of Christ,,35,,223,,19,,152,,45,,209,,64,
"Churches of God, General Conference",,12,,22,,9,,21,,22,,36,,32,
Conference of Mennonites,,2,,2,,0,,0,,1,,1,,3,
Conservative Baptist Association of America,,10,,48,,11,,30,,13,,79,,18,
Convention of Atlantic Baptist Churches,,0,,0,,0,,0,,1,,1,,1,
Cooperative Baptist Fellowship,,15,,149,,3,,6,,13,,60,,20,
Cumberland Presbyterian Church,,5,,44,,2,,4,,7,,13,,11,
Episcopal Church,,82,,668,,35,,97,,92,,659,,119,
Evangelical Church in Canada,,1,,2,,0,,0,,2,,2,,3,
Evangelical Congregational Church,,10,,23,,5,,6,,14,,20,,22,
Evangelical Covenant Church,,29,,155,,15,,83,,23,,95,,37,
Evangelical Formosan Church,,2,,4,,1,,1,,1,,10,,3,
Evangelical Free Church of America,,34,,182,,28,,165,,36,,322,,54,
Evangelical Free Church of Canada,,0,,0,,0,,0,,0,,0,,0,
Evangelical Lutheran Church in America,,59,,1030,,27,,136,,74,,553,,94,
