"Table 2.15 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2013",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,"Ministerial
Non-MDiv",,"General
Theological",,"Advanced
Ministerial",,"Advanced
Research",,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
"Moody Theological Seminary and Graduate School -
Michigan",,50,21,62,10,19,7,0,0,0,0,0,0,131,38
Moravian Theological Seminary,,27,19,21,10,14,6,0,0,0,0,30,8,92,43
Mount Angel Seminary,,81,81,0,0,22,16,0,0,0,0,0,0,103,97
Mount Saint Mary's Seminary,,118,118,0,0,36,36,0,0,0,0,0,0,154,154
Multnomah Biblical Seminary,,92,53,42,22,28,13,22,7,5,4,1,0,190,99
Nashotah House,,42,37,23,16,12,8,21,7,8,7,16,12,122,87
Nazarene Theological Seminary,,168,98,30,14,26,15,36,12,0,0,0,0,260,139
New Brunswick Theological Seminary,,126,82,0,0,14,10,22,7,0,0,8,3,170,102
New Orleans Baptist Theological Seminary,,991,822,185,157,50,35,155,73,98,98,107,53,"1,586","1,238"
New York Theological Seminary,,174,144,66,53,0,0,156,52,0,0,0,0,396,249
Newman Theological College,,20,16,81,46,8,4,0,0,3,1,0,0,112,67
North Park Theological Seminary,,96,60,46,25,9,3,6,2,0,0,0,0,157,90
Northeastern Seminary at Roberts Wesleyan College,,76,62,26,22,27,20,33,11,0,0,0,0,162,115
Northern Baptist Theological Seminary,,85,46,20,7,0,0,88,29,0,0,12,2,205,84
Northwest Baptist Seminary,,13,13,0,0,7,7,0,0,0,0,0,0,20,20
"Northwest Nazarene University School of Theology and
Christian Ministries (Graduate)",,60,41,51,37,0,0,0,0,0,0,0,0,111,78
Notre Dame Seminary,,95,95,0,0,85,54,0,0,0,0,0,0,180,149
Oblate School of Theology,,73,73,23,23,23,23,26,9,2,2,0,0,147,130
"Oklahoma Christian University Graduate School of
Theology",,27,6,29,9,0,0,0,0,0,0,0,0,56,15
Oral Roberts University College of Theology and Ministry,,89,61,129,78,21,13,77,26,0,0,2,2,318,180
Pacific Lutheran Theological Seminary,,56,36,0,0,8,8,0,0,0,0,36,33,100,77
Pacific School of Religion,,98,81,0,0,34,8,19,6,0,0,36,33,187,128
Palmer Theological Seminary,,182,135,0,0,70,47,47,16,0,0,3,1,302,199
Payne Theological Seminary,,135,105,0,0,0,0,0,0,0,0,0,0,135,105
Pentecostal Theological Seminary,,62,42,86,57,21,14,31,10,0,0,0,0,200,123
Perkins School of Theology,,211,177,16,14,62,39,79,26,31,31,8,3,407,290
Phillips Theological Seminary,,81,54,3,2,4,2,27,9,0,0,11,5,126,72
Phoenix Seminary,,123,64,31,13,0,0,8,3,0,0,34,11,196,91
Pittsburgh Theological Seminary,,123,123,0,0,21,14,95,32,5,3,2,0,246,172
Pontifical College Josephinum,,82,82,0,0,8,8,0,0,0,0,0,0,90,90
Pope St. John XXIII National Seminary,,57,57,0,0,0,0,0,0,0,0,0,0,57,57
Presbyterian Theological Seminary in America,,137,77,0,0,0,0,0,0,19,16,0,0,156,93
Princeton Theological Seminary,,381,376,9,7,8,8,1,0,100,97,3,2,502,490
Providence Theological Seminary,,13,7,98,43,9,5,18,6,0,0,33,9,171,70
Puritan Reformed Seminary,,38,28,0,0,16,7,0,0,46,14,62,6,162,55
Queen's College Faculty of Theology,,2,2,0,0,2,1,0,0,0,0,45,15,49,18
Queen's School of Religion,,19,14,0,0,13,2,0,0,0,0,0,0,32,16
Redeemer Theological Seminary,,86,72,0,0,43,21,0,0,0,0,20,4,149,97
Reformed Episcopal Seminary,,28,19,0,0,0,0,0,0,0,0,0,0,28,19
Reformed Presbyterian Theological Seminary,,64,44,0,0,17,7,1,0,0,0,0,0,82,51
Reformed Theological Seminary,,386,259,66,59,323,109,153,51,0,0,118,33,"1,046",511
Regent College,,108,67,0,0,219,116,0,0,16,5,116,45,459,233
Regent University School of Divinity,,462,247,117,45,106,50,116,39,71,71,61,10,933,462
Regis College,,29,25,17,6,29,11,8,3,41,36,61,18,185,99
Sacred Heart Major Seminary,,66,66,47,17,38,15,0,0,0,0,0,0,151,98
Sacred Heart School of Theology,,81,81,0,0,17,13,0,0,0,0,36,28,134,122
Saint Mary Seminary and Graduate School of Theology,,40,40,0,0,31,14,13,4,0,0,0,0,84,58
