"Table 2.15 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2013",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,"Ministerial
Non-MDiv",,"General
Theological",,"Advanced
Ministerial",,"Advanced
Research",,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Christian Witness Theological Seminary,,20,16,14,8,11,5,5,2,0,0,16,3,66,34
Church Divinity School of the Pacific,,36,36,0,0,15,13,11,4,0,0,17,5,79,58
Cincinnati Bible Seminary,,70,38,49,33,104,81,0,0,0,0,0,0,223,152
Claremont School of Theology,,57,50,9,8,77,65,8,3,97,97,0,0,248,223
Colgate Rochester Crozer Divinity School,,58,54,0,0,8,7,17,6,0,0,0,0,83,67
"Columbia International University - Seminary & School of
Ministry",,205,149,101,72,52,35,1,1,0,0,41,23,400,280
Columbia Theological Seminary,,132,85,29,15,12,8,165,74,12,11,0,0,350,193
Concordia Lutheran Seminary (AB),,7,6,0,0,0,0,0,0,0,0,3,1,10,7
Concordia Lutheran Theological Seminary (ON),,10,10,0,0,2,2,0,0,0,0,2,1,14,13
Concordia Seminary (MO),,269,257,10,10,7,4,54,18,112,92,210,69,662,450
Concordia Theological Seminary (IN),,160,155,12,11,22,20,22,7,38,36,47,15,301,244
Covenant Theological Seminary,,296,203,131,69,87,29,83,28,5,1,0,0,602,330
Dallas Theological Seminary,,0,0,804,392,142,51,132,50,781,539,252,60,2111,1092
Denver Seminary,,263,165,415,226,110,41,132,44,0,0,70,19,990,495
Dominican House of Studies,,54,54,0,0,17,10,0,0,0,0,0,0,71,64
Dominican School of Philosophy and Theology,,12,10,0,0,59,44,0,0,0,0,20,15,91,69
Dominican Study Center of the Caribbean,,25,19,5,2,32,16,0,0,0,0,0,0,62,37
Drew University Theological School,,205,151,16,11,25,25,97,32,92,88,0,0,435,307
Duke University Divinity School,,436,426,21,19,64,62,51,17,65,62,20,10,657,596
Earlham School of Religion,,48,35,0,0,12,6,0,0,0,0,2,1,62,42
Eastern Mennonite Seminary,,65,36,11,5,3,2,0,0,0,0,35,9,114,52
Ecumenical Theological Seminary,,47,42,20,16,0,0,40,13,0,0,0,0,107,71
Eden Theological Seminary,,103,75,6,1,15,9,24,8,0,0,0,0,148,93
Emmanuel Christian Seminary,,70,42,33,26,8,4,13,4,0,0,0,0,124,76
Emmanuel College of Victoria University,,64,42,22,10,10,6,6,2,46,45,7,2,155,107
Episcopal Divinity School,,44,32,0,0,9,6,12,4,0,0,7,4,72,46
Erskine Theological Seminary,,89,36,12,5,8,3,36,12,7,2,13,5,165,63
Evangelical Seminary of Puerto Rico,,176,54,0,0,27,24,1,0,0,0,0,0,204,78
Evangelical Theological Seminary,,59,32,29,23,25,12,0,0,0,0,10,3,123,70
Franciscan School of Theology,,9,8,4,3,24,20,0,0,0,0,7,3,44,34
Freed-Hardeman University Graduate School of Theology,,22,12,17,9,30,9,0,0,0,0,0,0,69,30
Fresno Pacific Biblical Seminary,,28,21,106,69,19,9,0,0,0,0,0,0,153,99
Fuller Theological Seminary,,672,354,750,350,350,165,1129,394,337,326,144,37,3382,1626
Garrett-Evangelical Theological Seminary,,171,169,44,36,18,16,43,14,82,82,41,10,399,327
General Theological Seminary,,41,38,11,7,5,4,0,0,13,13,0,0,70,62
George Fox Evangelical Seminary,,101,62,100,43,21,11,136,45,0,0,0,0,358,161
"George W. Truett Theological Seminary of Baylor
University",,267,230,8,6,10,6,36,12,0,0,1,0,322,254
Georgia Christian University School of Divinity,,20,20,28,28,15,15,13,4,0,0,0,0,76,67
Golden Gate Baptist Theological Seminary,,387,191,97,51,121,50,163,54,44,43,592,247,1404,636
Gordon-Conwell Theological Seminary,,767,551,324,180,368,172,431,144,37,22,210,71,2137,1140
Grace Mission University Graduate School,,86,46,29,13,0,0,8,8,4,4,0,0,127,71
Grace Theological Seminary,,38,38,13,11,0,0,81,70,0,0,0,0,132,119
Graduate Theological Union,,0,0,0,0,46,37,0,0,225,225,14,7,285,269
"Grand Rapids Theological Seminary of Cornerstone
University",,88,60,134,83,11,6,0,0,2,1,19,5,254,155
Harding School of Theology,,75,30,45,31,9,4,9,3,0,0,0,0,138,68
Hartford Seminary,,0,0,0,0,72,57,14,5,0,0,45,20,131,82
Harvard University Divinity School,,127,122,0,0,155,153,0,0,42,41,0,0,324,316
