"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2013",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
United States,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Evangelical Lutheran Church in Canada,,1,,1,,0,,0,,3,,5,,3,
Evangelical Presbyterian Church,,24,,94,,12,,45,,23,,109,,36,
Fellowship of Evangelical Baptist Churches in Canada,,0,,0,,1,,1,,0,,0,,1,
Fellowship of Grace Brethren Churches,,3,,8,,3,,6,,8,,19,,8,
Foursquare Gospel Church,,14,,35,,15,,52,,16,,65,,27,
Free Methodist Church,,15,,58,,12,,30,,18,,64,,27,
"Friends, Quaker",,6,,8,,7,,10,,11,,11,,21,
General Association of General Baptists,,3,,12,,1,,3,,2,,8,,3,
General Association of Regular Baptist Churches,,3,,3,,3,,4,,8,,25,,13,
General Baptist State Convention of North Carolina,,0,,0,,0,,0,,2,,3,,2,
General Church of New Jerusalem,,0,,0,,0,,0,,1,,1,,1,
Greek Orthodox Archdiocese of America,,3,,86,,1,,1,,14,,19,,16,
Heritage Reformed Congregations (USA and Canada),,1,,1,,1,,2,,1,,3,,2,
Independent Baptist,,26,,84,,17,,23,,29,,99,,41,
Independent Methodist,,19,,92,,13,,32,,14,,72,,25,
Inter/Multidenominational,,29,,93,,16,,49,,19,,76,,37,
Jewish,,9,,14,,4,,6,,21,,63,,27,
Korean American Presbyterian Church,,22,,274,,14,,62,,31,,272,,37,
Lutheran Church-Canada,,1,,1,,1,,2,,3,,8,,3,
Lutheran Church-Missouri Synod,,15,,450,,12,,33,,31,,472,,43,
"Lutheran, Other",,34,,94,,20,,40,,42,,173,,60,
Mennonite Brethren Church in North America,,4,,4,,4,,16,,5,,12,,8,
Mennonite Church Canada,,1,,2,,0,,0,,3,,4,,3,
Mennonite Church USA,,22,,95,,11,,23,,23,,91,,40,
"Mennonite, Other",,14,,27,,6,,10,,11,,23,,22,
Missionary Church in Canada,,2,,2,,1,,4,,4,,6,,4,
Moravian Church in North America,,6,,16,,2,,4,,4,,13,,7,
Muslim,,7,,12,,4,,5,,14,,117,,20,
National Association of Congregational Christian Churches,,5,,8,,1,,1,,6,,10,,11,
National Baptist Convention,,43,,167,,11,,17,,40,,98,,59,
Nondenominational,,129,,"2,523",,85,,"1,936",,124,,"2,703",,148,
North American Baptist Conference,,11,,18,,7,,20,,12,,23,,18,
Orthodox Church in America,,4,,34,,5,,6,,8,,26,,15,
Orthodox Presbyterian,,12,,51,,5,,9,,11,,40,,17,
"Orthodox, Other",,9,,54,,8,,8,,21,,74,,33,
Other,,143,,"2,630",,88,,"1,414",,148,,"4,908",,173,
Pentecostal Assemblies of Canada,,7,,13,,2,,4,,7,,19,,10,
Presbyterian Church (U.S.A.),,100,,"1,246",,52,,220,,92,,954,,124,
Presbyterian Church in America,,39,,756,,27,,257,,48,,603,,65,
Presbyterian Church in Canada,,4,,6,,3,,3,,9,,13,,11,
Presbyterian Church International,,6,,15,,6,,8,,13,,147,,14,
Progressive National Baptist Convention,,11,,13,,0,,0,,13,,21,,20,
Reformed Church in America,,33,,234,,10,,19,,30,,126,,46,
Reformed Church in Canada,,1,,1,,0,,0,,0,,0,,1,
Reformed Episcopal Church,,3,,12,,1,,3,,5,,10,,8,
Reformed Presbyterian,,11,,50,,5,,7,,15,,44,,22,
Religious Society of Friends,,16,,38,,3,,4,,12,,32,,22,
Roman Catholic,,84,,"2,619",,53,,903,,101,,"2,495",,132,
Salvation Army,,7,,11,,11,,16,,12,,23,,20,
