col_0,STATUS AT END OF CALENDAR YEAR,col_2
School Name,2012,2013
Bangor Theological Seminary,Accredited,Terminated
Baptist Seminary of Kentucky,Associate,Candidate
Bexley Hall Seminary,Accredited,Merged
Canadian Reformed Theological Seminary,Candidate,Accredited
China Evangelical Seminary North America,Associate,Candidate
Florida Center for Theological Studies,Accredited,Terminated
HMS Richards Divinity School Division of Graduate Studies,Candidate,Accredited
Northwest Baptist Seminary,Associate,Candidate
Redeemer Theological Seminary,Candidate,Accredited
Reformed Episcopal Seminary,Candidate,Accredited
Saint Paul University Faculty of Theology,Associate,Candidate
Seabury-Western Theological Seminary,Accredited,Merged
Seminary of the Immaculate Conception,Accredited,Terminated
The Seattle School of Theology and Psychology,Candidate,Accredited
Turner School of Theology of Amridge University,Candidate,Terminated
"Washington Baptist Theological Seminary of Washington Baptist
University",Candidate,Associate
Wesley Seminary at Indiana Wesleyan University,Associate,Candidate
World Mission University,Candidate,Accredited
