United States,col_1,col_2,col_3,col_4,col_5,col_6
,2020-2021,,2021-2022,,2022-2023,
,$,N,$,N,$,N
Administrators,,,,,,
Chief Executive Officer,192082,205,203936,206,208746,203
Academic VP/Academic Dean,125986,210,126516,210,131968,208
Academic Dean - Other,111249,151,112139,155,114157,161
Vice President for Administration,133761,82,140182,76,148256,75
Executive Vice President,160297,43,175977,44,166148,48
Chief Development Officer,135188,115,144658,110,143968,104
Development Professional Staff,98597,143,98724,142,99006,143
Chief Financial Officer,136071,132,138806,133,147023,133
Dean of Students,104764,109,105958,106,112905,109
Director of Student Services,83351,61,79631,71,83642,75
Director of Graduate Studies,91912,65,96596,57,99036,65
Director of Doctor of Ministry,97334,90,99163,94,100841,102
Director of Field Education,88426,98,89952,100,89990,108
Director of Continuing Education,114827,34,96426,32,105974,41
Director of Formation,95723,94,102174,94,107219,99
Head Librarian - Admin./Faculty,90283,115,90025,113,93676,113
Librarian Professional Staff,74049,164,74589,161,77587,157
Information Systems Manager,103105,91,103331,95,109619,98
Admissions Officer,80325,161,81443,160,86992,154
Recruitment Officer,83233,64,84841,72,86622,71
Registrar,75823,159,76748,154,81131,153
Alumni Officer,83189,50,86582,58,92111,59
Director of Extension/Distance Ed,90383,81,84118,82,88549,74
Financial Aid Officer,76822,90,76861,92,79732,95
Director of Assessment,95615,75,97988,72,98286,88
Director of Career/Placement Services,84508,20,85651,26,90993,28
Director of Housing/Student Life,82284,26,79582,36,79151,30
Director of Marketing/Communications,93393,90,94615,97,101633,100
Communications Associate,70102,65,70701,63,72449,53
Faculty,,,,,,
Professor,113445,1247,113151,1223,120687,1207
Associate Professor,98737,759,99563,797,105085,761
Assistant Professor,83132,617,81858,577,87016,624
Non-Ranked Faculty,86484,62,86191,63,84583,61
