All Member Schools,col_1,col_2,col_3
Faculty Rank Name,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Professor,,,
1Number,560,285,446
2Average Salary,97278,89349,97784
2Median Salary,90178,86700,88500
3Average Salary and Housing,100750,93616,101423
4Average Benefits,11073,14643,14626
5Average Pension,6657,7372,7569
6Total Compensation Average,118482,115633,123619
Total Compensation 25th Percentile,85496,88338,100921
Total Compensation Median,110817,111573,114941
Total Compensation 75th Percentile,138871,138302,138041
Associate Professor,,,
1Number,404,174,270
2Average Salary,81737,75986,85262
2Median Salary,78850,75892,81000
3Average Salary and Housing,84166,79124,89597
4Average Benefits,11117,12886,14049
5Average Pension,5789,5890,6283
6Total Compensation Average,101073,97901,109929
Total Compensation 25th Percentile,78846,82355,93660
Total Compensation Median,99357,98597,104164
Total Compensation 75th Percentile,119951,111841,125920
Assistant Professor,,,
1Number,362,133,204
2Average Salary,67808,64672,68944
2Median Salary,66950,65564,69070
3Average Salary and Housing,70031,66234,71148
4Average Benefits,10011,10051,11877
5Average Pension,5771,4624,4134
6Total Compensation Average,85814,80910,87161
Total Compensation 25th Percentile,68000,64424,73836
Total Compensation Median,86074,81578,87505
Total Compensation 75th Percentile,100000,97464,102314
Non-Ranked Faculty,,,
1Number,29,20,21
2Average Salary,73444,57288,65884
2Median Salary,65128,57230,67626
3Average Salary and Housing,74655,64360,65884
4Average Benefits,8311,7131,6851
5Average Pension,4131,4361,3895
6Total Compensation Average,87098,75853,76631
Total Compensation 25th Percentile,59340,39000,50116
Total Compensation Median,75335,75355,75168
Total Compensation 75th Percentile,98304,99000,101016
