"Table 2.12 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2022",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,MA,,ThM/STM,,"DMin/Other
Prof Dr",,PhD/ThD,,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Southern Baptist Theological Seminary,,1803,907,688,320,49,15,356,225,266,266,186,86,3348,1819
"Southern California Seminary Graduate School of
Bible and Theology",,29,21,47,26,1,1,5,2,0,0,0,0,82,50
Southwestern Baptist Theological Seminary,,561,262,1093,357,66,45,332,163,254,254,89,45,2395,1126
SS. Cyril & Methodius Seminary,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Andrew's College,,7,4,6,2,0,0,1,0,0,0,0,0,14,6
St. Augustine's Seminary of Toronto,,50,35,16,6,0,0,0,0,0,0,36,13,102,54
St. Bernard's School of Theology and Ministry,,8,8,78,42,0,0,0,0,0,0,87,16,173,66
St. Charles Borromeo Seminary,,59,55,37,27,0,0,0,0,0,0,0,0,96,82
St. John Vianney Theological Seminary,,57,57,0,0,0,0,0,0,0,0,0,0,57,57
St. John's Seminary (CA),,82,82,3,3,0,0,0,0,0,0,0,0,85,85
St. Joseph's Seminary,,62,50,118,91,0,0,0,0,0,0,10,9,190,150
St. Mark's College,,0,0,21,11,0,0,0,0,0,0,16,8,37,19
St. Mary's Seminary and University,,62,61,36,20,0,0,10,3,0,0,47,23,155,107
St. Patrick's Seminary and University,,48,48,0,0,0,0,0,0,0,0,0,0,48,48
St. Peter's Seminary,,29,20,0,0,0,0,0,0,0,0,0,0,29,20
St. Stephen's College,,0,0,53,40,0,0,19,6,0,0,30,10,102,56
St. Tikhon's Orthodox Theological Seminary,,42,42,0,0,0,0,0,0,0,0,0,0,42,42
St. Vincent de Paul Regional Seminary,,94,91,40,35,0,0,0,0,0,0,3,3,137,129
St. Vladimir's Orthodox Theological Seminary,,46,46,22,22,4,4,19,6,0,0,0,0,91,78
Starr King School for the Ministry,,14,12,2,1,0,0,0,0,0,0,0,0,16,13
Talbot School of Theology,,251,127,677,316,0,0,176,63,44,44,0,0,1148,550
Trinity College Faculty of Divinity,,27,14,26,8,0,0,5,2,16,16,6,1,80,41
Trinity Episcopal School for Ministry,,42,25,53,20,9,7,42,14,0,0,102,57,248,123
Trinity Evangelical Divinity School,,166,135,279,149,28,16,60,20,167,167,14,5,714,492
Trinity Lutheran Seminary,,28,26,16,7,0,0,4,1,0,0,4,1,52,35
Tyndale Seminary,,419,229,230,99,7,3,62,21,0,0,63,16,781,368
Union Presbyterian Seminary,,124,120,27,23,5,5,21,7,0,0,4,2,181,157
Union Theological Seminary,,134,106,45,37,15,13,0,0,21,21,2,2,217,179
United Lutheran Seminary,,111,64,50,17,23,5,78,26,4,4,65,16,331,132
United Theological Seminary,,188,171,67,62,0,0,218,73,0,0,1,1,474,307
United Theological Seminary of the Twin Cities,,116,97,44,27,0,0,64,21,0,0,0,0,224,145
University of Chicago Divinity School,,57,36,70,65,0,0,0,0,113,113,0,0,240,214
University of Dubuque Theological Seminary,,53,44,8,7,0,0,53,18,0,0,0,0,114,69
"University of Northwestern-St. Paul School of
Theology and Ministry",,18,16,29,25,0,0,0,0,0,0,0,0,47,41
University of Notre Dame Department of Theology,,53,52,184,135,0,0,0,0,76,76,0,0,313,263
"University of St. Mary of the Lake Mundelein
Seminary",,105,105,53,35,0,0,8,3,0,0,0,0,166,143
"University of St. Michael's College Faculty of
Theology",,6,2,28,10,2,1,3,1,24,24,0,0,63,38
University of the South School of Theology,,57,50,8,8,17,5,49,16,0,0,0,0,131,79
Urshan Graduate School of Theology,,27,17,58,29,0,0,0,0,0,0,0,0,85,46
Vancouver School of Theology,,58,32,55,27,12,6,0,0,0,0,33,14,158,79
Vanderbilt University Divinity School,,65,60,30,27,7,4,99,33,0,0,0,0,201,124
"Villanova University Department of Theology and
Religious Studies",,0,0,33,23,4,2,0,0,37,37,5,5,79,67
Virginia Theological Seminary,,99,96,10,9,0,0,33,18,0,0,10,10,152,133
Wake Forest University School of Divinity,,65,65,0,0,0,0,0,0,0,0,0,0,65,65
Wartburg Theological Seminary,,149,146,30,26,0,0,0,0,0,0,33,13,212,185
