Primary Racial/Ethnic Composition,United States,Canada,Total,% of Total
Asian or Pacific Islander,8,2,10,4%
Black Non-Hispanic,18,0,18,6%
Hispanic,7,0,7,2%
"American Indian, Alaskan Native or Inuit",0,1,1,0%
Visa or Nonresident Alien,9,0,9,3%
White Non-Hispanic,160,21,181,64%
Multiracial,12,0,12,4%
Not Available,18,12,30,11%
Not Reported,2,1,3,1%
TOTAL,244,38,282,100%
