Degree Category,col_1,White,col_3,col_4,Multi-Racial,col_6,col_7,Not Reported,col_9,col_10,Total,col_12,col_13
,Degree Program,M,F,O,M,F,O,M,F,O,M,F,O
Master's Degree Programs,,,,,,,,,,,,,
MDiv,,10221,3747,132,316,170,12,1868,816,167,19195,8031,409
MA (prof),,2980,3707,114,86,142,10,774,904,60,6142,7244,233
MA (acad),,3297,1978,77,107,83,3,732,518,35,6311,3873,159
MA (both),,927,608,6,34,61,0,311,320,30,2185,1595,47
Subtotal MA,,7204,6293,197,227,286,13,1817,1742,125,14638,12712,439
ThM/MTh/STM,,517,89,6,20,5,0,149,43,7,1072,225,18
Doctoral Degree Programs,,,,,,,,,,,,,
DMin,,3309,1043,11,102,52,1,895,250,33,8047,2693,57
Other Prof Dr,,411,186,3,7,8,0,115,77,4,935,560,13
"Subtotal DMin and
Other Prof Dr",,3720,1229,14,109,60,1,1010,327,37,8982,3253,70
PhD/ThD,,1568,436,2,60,19,0,225,45,2,3134,963,16
Non-Degree Programs,,,,,,,,,,,,,
NonDegree,,1216,733,14,37,27,0,480,362,55,2800,1813,81
Total,,24446,12527,365,769,567,26,5549,3335,393,49821,26997,1033
