All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States Canada,,United States Canada,,United States Canada,,United States Canada,
,Director of Field Education,,"Director of Continuing
Education",,Director of Formation,,"Head Librarian -
Admin./Faculty",
Number,110,16,42,5,99,9,116,14
Average Salary,66850,62712,80561,78173,77216,51586,73374,56189
Median Salary,68000,67944,80000,76777,72368,54452,71845,53183
Average Salary and Housing,69854,66919,84455,79292,82584,54072,74837,57632
Average Benefits,14657,6937,14493,4672,17355,2852,11980,5239
Average Pension,5298,5496,6973,5441,7281,4327,5869,5483
Total Compensation Average,89810,79352,105921,89405,107220,61251,92686,68354
"Total Compensation 25th
Percentile",73162,69009,85193,69009,81861,40277,72451,47165
Total Compensation Median,91581,80280,97700,87879,98577,68559,92476,67137
"Total Compensation 75th
Percentile",109908,89141,122827,99392,127387,69009,109955,83236
,Librarian Professional Staff,,"Information Systems
Manager",,Admissions Officer,,Recruitment Officer,
Number,158,15,100,12,155,14,72,14
Average Salary,60841,53041,87344,64267,69678,51062,69854,51779
Median Salary,60000,40404,85000,61402,65000,41224,66340,49292
Average Salary and Housing,61248,53041,87799,65886,70744,52089,70632,53999
Average Benefits,10694,5127,13474,4623,10606,2025,10144,4864
Average Pension,5483,5811,7212,3941,5470,3623,5480,4766
Total Compensation Average,77425,63979,108485,74450,86820,57737,86256,63629
"Total Compensation 25th
Percentile",64232,40117,82059,66925,61558,37296,61473,49728
Total Compensation Median,77829,49451,105857,72280,84928,44552,83274,54863
"Total Compensation 75th
Percentile",90398,75188,131401,81032,106532,80639,106812,76779
,Registrar,,Alumni Officer,,,,,
Number,156,29,60,2,,,,
Average Salary,64157,63121,73482,55439,,,,
Median Salary,63860,54935,71064,0,,,,
Average Salary and Housing,64951,63992,75508,55439,,,,
Average Benefits,10332,5541,10889,1371,,,,
Average Pension,5282,5041,5767,2193,,,,
Total Compensation Average,80565,74573,92163,59003,,,,
"Total Compensation 25th
Percentile",64174,48244,72780,0,,,,
Total Compensation Median,78170,71711,87904,0,,,,
"Total Compensation 75th
Percentile",96949,97859,116500,0,,,,
