All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States Canada,,United States Canada,,United States Canada,,United States Canada,
,Professor,,Associate Professor,,Assistant Professor,,Non-Ranked Faculty,
Number,1236,82,774,90,637,72,61,10
Average Salary,95624,90882,82603,75060,68192,63281,69026,49518
Median Salary,88665,87577,80000,69992,68449,59312,67500,50117
Average Salary and Housing,99528,92969,85924,76624,70390,64139,71920,49518
Average Benefits,13552,7094,13160,5275,11295,3713,8233,2531
Average Pension,7169,5711,6091,4413,5104,4574,4431,1860
Total Compensation Average,120249,105774,105175,86311,86789,72426,84584,53910
"Total Compensation 25th
Percentile",93214,81601,86858,71521,70000,51517,55471,31080
Total Compensation Median,113204,99392,102858,79078,87443,66925,75355,50117
"Total Compensation 75th
Percentile",140117,117374,121123,98479,102105,86468,105227,79714
