"Table 2.12 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2022",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,MA,,ThM/STM,,"DMin/Other
Prof Dr",,PhD/ThD,,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
"Abilene Christian University Graduate School of
Theology",,79,39,68,27,0,0,28,9,0,0,5,3,180,78
Academy for Jewish Religion,,55,23,6,2,0,0,0,0,0,0,0,0,61,25
Acadia Divinity College,,42,25,33,13,0,0,28,9,0,0,67,23,170,70
Alliance Theological Seminary,,213,99,213,106,0,0,100,33,0,0,3,1,529,239
Ambrose Seminary,,43,24,82,51,0,0,0,0,0,0,0,0,125,75
America Evangelical University Seminary,,45,34,23,20,0,0,10,5,44,44,0,0,122,103
Anabaptist Mennonite Biblical Seminary,,45,23,62,24,0,0,0,0,0,0,9,2,116,49
Anderson University School of Theology,,25,16,24,10,0,0,0,0,0,0,0,0,49,26
Antiochian House of Studies,,35,30,0,0,108,105,0,0,9,9,90,83,242,227
Aquinas Institute of Theology,,23,23,37,31,0,0,32,11,0,0,14,14,106,79
Asbury Theological Seminary,,553,396,671,504,21,8,339,113,111,111,28,24,1723,1156
Ashland Theological Seminary,,49,23,167,98,0,0,45,15,0,0,5,5,266,141
Assemblies of God Theological Seminary,,41,26,149,73,0,0,75,27,33,33,0,0,298,159
Associated Canadian Theological Schools,,56,29,214,102,5,1,35,12,0,0,51,15,361,159
Athenaeum of Ohio,,75,75,17,11,0,0,0,0,0,0,42,28,134,114
Atlantic School of Theology,,57,30,20,5,0,0,0,0,0,0,28,5,105,40
Augustine Institute,,0,0,382,169,0,0,0,0,0,0,0,0,382,169
Austin Presbyterian Theological Seminary,,63,44,58,49,0,0,52,17,0,0,0,0,173,110
Azusa Pacific Seminary,,136,90,55,32,0,0,102,34,0,0,0,0,293,156
B. H. Carroll Theological Institute,,13,7,53,44,0,0,8,3,26,26,5,3,105,83
"Baptist Missionary Association Theological
Seminary",,22,14,25,12,0,0,0,0,0,0,0,0,47,26
Baptist Seminary of Kentucky,,48,38,0,0,0,0,0,0,0,0,0,0,48,38
"Barry University Department of Theology and
Philosophy",,0,0,27,25,0,0,23,8,0,0,0,0,50,33
Beeson Divinity School,,107,93,13,11,0,0,4,1,0,0,0,0,124,105
Berkeley Divinity School,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley School of Theology (CA),,16,13,2,1,5,4,43,14,0,0,27,27,93,59
Bethany Theological Seminary,,25,15,35,22,0,0,0,0,0,0,20,8,80,45
Bethel Seminary,,85,31,173,108,0,0,72,24,0,0,6,2,336,165
"Bexley Hall Seabury-Western Theological Seminary
Federation, Inc.",,32,17,0,0,0,0,29,10,0,0,0,0,61,27
Boston College School of Theology and Ministry,,47,47,125,103,20,18,0,0,0,0,104,77,296,245
Boston University School of Theology,,147,146,42,39,13,10,56,19,55,55,9,3,322,272
Briercrest College and Seminary,,8,5,95,61,0,0,0,0,0,0,0,10,103,76
Brite Divinity School,,46,26,25,6,1,1,23,8,14,14,0,0,109,55
"Byzantine Catholic Seminary of SS. Cyril and
Methodius",,8,8,28,5,0,0,0,0,0,0,5,1,41,14
Calvin Theological Seminary,,84,74,38,24,25,25,18,6,32,32,42,14,239,175
Campbell University Divinity School,,60,41,32,20,0,0,21,7,0,0,1,0,114,68
Canadian Baptist Theological Seminary,,20,10,23,13,0,0,0,0,0,0,0,0,43,23
Canadian Reformed Theological Seminary,,32,31,0,0,0,0,0,0,0,0,0,0,32,31
Candler School of Theology,,256,243,57,50,15,10,78,26,1,1,10,4,417,334
Carey Theological College,,30,13,18,7,0,0,10,3,0,0,19,12,77,35
"Catholic Distance University Graduate School of
Theology",,0,0,120,82,0,0,0,0,0,0,16,13,136,95
Catholic Theological Union,,101,84,77,44,0,0,29,10,0,0,7,4,214,142
"Catholic University of America School of Theology
and Religious Studies",,82,76,36,23,0,0,37,12,77,77,0,0,232,188
Central Baptist Theological Seminary,,114,103,62,59,0,0,107,36,0,0,4,2,287,200
