"Table 2.9 Head Count Enrollment by Race or Ethnic Group, Degree, and Gender",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21
All Member Schools,,,,,,,,,,,,,,,,,,,,,
Racial/Ethnic Category,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,
,Degree Program,M,F,O,Total,M,F,O,Total,M,F,O,Total,M,F,O,Total,M,F,O,Total
Asian,,,,,,,,,,,,,,,,,,,,,
,MDiv,1526,497,0,2023,1606,545,0,2151,1711,533,0,2244,1570,549,19,2138,1510,546,19,2075
,MA,875,862,0,1737,988,908,0,1896,1098,1053,0,2151,1187,1199,9,2395,1140,1181,41,2362
,ThM / STM,140,39,0,179,99,22,0,121,82,20,0,102,97,29,0,126,92,21,0,113
,DMin and Other Dr,730,166,0,896,770,180,0,950,904,185,0,1089,1092,213,1,1306,1263,255,4,1522
,PhD / ThD,235,73,0,308,249,72,0,321,257,76,0,333,299,89,2,390,295,84,4,383
,Non-Degrees,237,159,0,396,224,170,0,394,253,175,0,428,295,312,0,607,303,296,3,602
,Subtotal,3743,1796,0,5539,3936,1897,0,5833,4305,2042,0,6347,4540,2391,31,6962,4603,2383,71,7057
Black,,,,,,,,,,,,,,,,,,,,,
,MDiv,2545,2199,0,4744,2414,2108,0,4522,2406,2029,0,4435,2288,1970,32,4290,2155,1750,38,3943
,MA,1279,1326,0,2605,1254,1287,0,2541,1199,1279,0,2478,1335,1325,9,2669,1293,1361,16,2670
,ThM / STM,83,38,0,121,45,17,0,62,43,11,0,54,55,17,0,72,36,12,0,48
,DMin and Other Dr,901,656,0,1557,1068,800,0,1868,1103,885,0,1988,1260,1009,3,2272,1251,985,8,2244
,PhD / ThD,119,75,0,194,155,77,0,232,150,76,0,226,165,94,1,260,173,102,3,278
,Non-Degrees,169,171,0,340,207,157,0,364,162,132,0,294,228,196,1,425,233,184,2,419
,Subtotal,5096,4465,0,9561,5143,4446,0,9589,5063,4412,0,9475,5331,4611,46,9988,5141,4394,67,9602
Hispanic,,,,,,,,,,,,,,,,,,,,,
,MDiv,1308,452,0,1760,1285,490,0,1775,1324,528,0,1852,1263,531,10,1804,1299,509,4,1812
,MA,1622,776,0,2398,1445,889,0,2334,1618,944,0,2562,1685,968,5,2658,1627,964,12,2603
,ThM / STM,45,8,0,53,24,2,0,26,29,5,0,34,39,2,7,48,35,7,0,42
,DMin and Other Dr,390,100,0,490,431,108,0,539,448,120,0,568,500,132,0,632,519,157,1,677
,PhD / ThD,103,42,0,145,118,33,0,151,109,35,0,144,117,42,0,159,187,49,0,236
,Non-Degrees,234,108,0,342,333,161,0,494,296,177,0,473,295,141,0,436,327,144,1,472
,Subtotal,3702,1486,0,5188,3636,1683,0,5319,3824,1809,0,5633,3899,1816,22,5737,3994,1830,18,5842
