Canada,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2012,,2017,,2021,,2022,
Enrollment size,N,%,N,%,N,%,N,%
< 75,25,63%,26,67%,24,65%,27,71%
75 - 150,11,28%,8,21%,9,24%,6,16%
151 - 300,2,5%,3,8%,3,8%,3,8%
301 - 500,1,3%,1,3%,1,3%,1,3%
501 - 1000,0,-,0,-,0,-,0,-
> 1000,0,-,0,-,0,-,0,-
Not Reporting,1,3%,1,3%,0,-,1,3%
Total,40,100%,39,100%,37,100%,38,100%
