All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States Canada,,United States Canada,,United States Canada,,United States Canada,
,Chief Executive Officer,,"Academic VP/Academic
Dean",,Academic Dean - Other,,"Vice President for
Administration",
Number,214,35,220,36,162,9,77,8
Average Salary,164847,114584,102202,85858,90992,86980,122007,92698
Median Salary,150815,105166,98063,85470,87228,89033,120000,94167
Average Salary and Housing,173632,118412,106977,88235,92188,89052,124307,94680
Average Benefits,18374,6575,14131,6179,15423,4129,14651,3257
Average Pension,11780,10121,7443,8062,6397,6135,8175,6238
Total Compensation Average,203786,135107,128551,102476,114008,99316,147133,104174
"Total Compensation 25th
Percentile",115507,92095,96176,70085,93051,51900,104545,69009
Total Compensation Median,177304,120510,123700,95610,109119,99659,141234,108094
"Total Compensation 75th
Percentile",263778,159052,161379,122461,130260,124416,172250,114717
,Executive Vice President,,Chief Development Officer,,"Development Professional
Staff",,Chief Financial Officer,
Number,49,4,106,17,143,7,136,23
Average Salary,138329,84281,117698,71021,77754,57646,120969,77280
Median Salary,131325,77700,110065,64988,73000,47883,116000,72953
Average Salary and Housing,140046,85679,119235,72917,79592,57646,122065,78091
Average Benefits,13907,3193,13589,5871,13013,2872,13357,5376
Average Pension,10274,5553,9488,6286,6402,5344,9621,6492
Total Compensation Average,164227,94425,142311,85074,99007,65862,145042,89958
"Total Compensation 25th
Percentile",109171,69009,102000,67006,72168,43741,96332,71795
Total Compensation Median,160033,83503,130653,79745,94484,53115,144000,90983
"Total Compensation 75th
Percentile",221660,106835,179277,91247,116465,64073,185826,108094
,Dean of Students,,Director of Student Services,,Director of Graduate Studies,,Director of Doctor of Ministry,
Number,113,12,78,8,67,7,104,5
Average Salary,82862,72233,64593,62150,75431,84771,79579,44800
Median Salary,80145,52524,60000,58656,73631,86062,81438,43025
Average Salary and Housing,88293,76441,66774,63898,80368,84771,81230,44800
Average Benefits,16032,5527,10147,1072,12966,8435,12725,1535
Average Pension,6830,5644,5632,2867,5070,6919,5630,3296
Total Compensation Average,111155,87612,82553,67837,98404,100125,99585,49631
"Total Compensation 25th
Percentile",86148,55427,63327,52059,78331,49130,79757,8817
Total Compensation Median,107291,73427,79780,60606,100557,102548,102992,47320
"Total Compensation 75th
Percentile",131751,98498,102035,83277,115023,114327,118692,75853
