Table 2.5 Head Count Enrollment at Constant Set of Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7
All Member Schools,,,,,,,
,Same Set Enrollment,,,Total Enrollment,,,Same Set Enrollment
Year,N,Head Count,% Chng,N,Head Count,% Chng,as % of Total Enrollment
2018,262,"77,142",,276,"77,804",,99.1%
2019,262,"76,938",-0.3%,274,"77,497",-0.4%,99.3%
2020,262,"77,455",0.7%,274,"78,080",0.8%,99.2%
2021,262,"78,000",0.7%,271,"78,488",0.5%,99.4%
2022,262,"76,090",-2.4%,280,"77,851",-0.8%,97.7%
United States,,,,,,,
,Same Set Enrollment,,,Total Enrollment,,,Same Set Enrollment
Year,N,Head Count,% Chng,N,Head Count,% Chng,as % of Total Enrollment
2018,227,"72,169",,237,"72,648",,99.3%
2019,227,"72,113",-0.1%,235,"72,448",-0.3%,99.5%
2020,227,"72,478",0.5%,236,"73,014",0.8%,99.3%
2021,227,"73,106",0.9%,234,"73,583",0.8%,99.4%
2022,227,"71,579",-2.1%,243,"73,308",-0.4%,97.6%
Canada,,,,,,,
,Same Set Enrollment,,,Total Enrollment,,,Same Set Enrollment
Year,N,Head Count,% Chng,N,Head Count,% Chng,as % of Total Enrollment
2018,35,"4,973",,39,"5,156",,96.5%
2019,35,"4,825",-3.0%,39,"5,049",-2.1%,95.6%
2020,35,"4,977",3.2%,38,"5,066",0.3%,98.2%
2021,35,"4,894",-1.7%,37,"4,905",-3.2%,99.8%
2022,35,"4,511",-7.8%,37,"4,543",-7.4%,99.3%
"Table 2.5 compares head count enrollment at a constant set of schools that were members of the Association for all five years and reported enrollment
for the same period.",,,,,,,
