Denomination,United States,Canada,Total,% of Total
Protestant,135,23,158,56%
Non/Inter/Multidenominational,57,8,65,23%
Roman Catholic,43,6,49,17%
Orthodox,5,0,5,2%
"Catholic, Eastern Rite Traditions",1,0,1,0%
Not Reported,3,1,4,1%
TOTAL,244,38,282,100%
