col_0,col_1,col_2,col_3,Prov/,Church/,Expenditures,LT Invest,Faculty,col_9,Enrollment,col_11,MDiv
Name,Status,IUC,Race,State,Denom,$thousands,$millions,FT,FTE,HC,FTE,Tuition + Fees
Lutheran Theological Southern Seminary,ACCRED,U,W,SC,ELCA,4361,40,6,6,69,43,20600
M. Christopher White School of Divinity,ACCRED,C,W,NC,BAPTNC,3093,0,9,11,126,75,13665
Martin Luther University College,ACCRED,U,N,ON,ELCC,4134,11,8,19,145,119,10057
The Master's Seminary,ASSOC,U,n/a,CA,NONDEN,8587,41,21,28,737,489,11610
McCormick Theological Seminary,ACCRED,I,B,IL,PCUSA,8601,80,10,17,162,67,9410
McGill University School of Religious Studies,ACCRED,U,N,QC,INTER,1029,18,19,23,1,1,0
McMaster Divinity College,ACCRED,I,W,ON,BAPTOQ,3682,30,14,18,228,172,6781
Meadville Lombard Theological School,ACCRED,I,W,IL,UUA,4064,30,2,5,61,46,24283
Memphis Theological Seminary,ACCRED,I,B,TN,PCCUM,3757,15,9,9,201,120,12350
Methodist Theological School in Ohio,ACCRED,I,W,OH,UMC,7297,50,12,18,140,96,26748
Mid-America Reformed Seminary,ACCRED,I,W,IN,INTER,2520,0,7,7,35,27,9960
Midwestern Baptist Theological Seminary,ACCRED,I,W,MO,SBC,24750,27,26,26,2625,1728,7750
Missio Theological Seminary,ACCRED,I,V,PA,INTER,3380,4,7,19,147,92,17420
Montreal School of Theology,ACCRED,I,N,QC,PCC,77,0,3,3,22,17,6980
Moody Theological Seminary,ACCRED,C,N,IL,NONDEN,7191,34,15,24,657,431,12075
Moravian Theological Seminary,ACCRED,C,W,PA,MORAVV,1766,28,6,7,45,22,17630
Mount Angel Seminary,ACCRED,I,W,OR,RC,5091,0,12,18,79,59,27832
Mount Saint Mary's Seminary,ACCRED,C,W,MD,RC,6990,11,14,17,163,163,27690
Multnomah Biblical Seminary,ACCRED,C,W,OR,NONDEN,3319,2,5,9,122,69,17284
NAIITS An Indigenous Learning Community,ACCRED,I,I,PEI,OTHER,0,0,4,8,41,23,9000
Nashotah House,ACCRED,I,W,WI,EPISC,5092,9,7,9,115,100,17200
Nazarene Theological Seminary,ACCRED,I,W,MO,CHNAZ,3918,12,8,8,177,83,13600
Neal T. Jones Seminary,ACCRED,C,M,VA,NONDEN,2411,0,4,12,65,56,6566
New Brunswick Theological Seminary,ACCRED,I,M,NJ,RFCHAM,4907,19,8,13,151,69,17060
New Orleans Baptist Theological Seminary,ACCRED,I,W,LA,SBC,36475,76,41,49,1481,860,7852
New York Theological Seminary,ACCRED,I,M,NY,INTER,3889,1,7,7,132,63,12615
Newman Theological College,ACCRED,I,N,AB,RC,4057,26,4,9,101,40,8984
North Park Theological Seminary,ACCRED,C,W,IL,EVCOV,4943,0,8,8,227,121,12600
Northeastern Seminary,ACCRED,C,N,NY,INTER,2409,4,8,10,193,105,14740
Northern Baptist Theological Seminary,ACCRED,I,W,IL,ABCUSA,5876,11,4,9,325,234,18447
Northwest Nazarene University Graduate School of Theology,ACCRED,U,W,ID,CHNAZ,240,0,13,16,60,41,9367
Northwest Seminary,ACCRED,I,N,BC,FEVBAPT,1773,4,4,4,96,82,7320
Notre Dame Seminary,ACCRED,I,W,LA,RC,6830,18,19,21,122,110,36334
Oakwood University School of Theology Graduate Department,ACCRED,U,B,AL,SDADV,1601,1,7,7,18,16,0
Oblate School of Theology,ACCRED,I,H,TX,RC,9365,39,25,29,182,115,24860
