Table 2.8 Full-Time Equivalent Enrollment by Degree Category and Program,col_1,col_2,col_3,col_4,col_5
All Member Schools,,,,,
,2018,2019,2020,2021,2022
Master's Degree Programs,,,,,
MDiv,21851,21935,21995,20187,19360
MA (prof),8258,8377,8556,8443,8364
MA (acad),7606,7107,7285,6087,5816
MA (both),0,0,0,1102,2007
Subtotal MA,15864,15484,15841,15631,16187
ThM/MTh/STM,1049,761,793,744,728
Doctoral Degree Programs,,,,,
DMin,2898,3105,3133,3415,3599
Other Prof Dr,1198,1439,1575,1596,1508
Subtotal DMin and Other Prof Dr,4096,4544,4708,5011,5107
PhD/ThD,4036,4116,3939,4017,4113
Non-Degree Programs,,,,,
NonDegree,2285,2073,2081,2405,2241
Total,49181,48912,49357,47994,47736
