All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Librarian Professional Staff,,,
Number,76,44,52
Average Salary,59956,59135,61497
Median Salary,58000,58191,62400
Average Salary and Housing,60612,-,61774
Average Benefits,12012,8773,8990
Average Pension,6035,4853,5409
Total Compensation Average,78660,72762,76174
Total Compensation 25th Percentile,60127,56100,66130
Total Compensation Median,79860,74348,75518
Total Compensation 75th Percentile,92519,85125,87480
Information Systems Manager,,,
Number,50,31,29
Average Salary,85837,78028,93345
Median Salary,80426,72423,89760
Average Salary and Housing,86590,78676,93594
Average Benefits,11139,12745,14951
Average Pension,7267,5914,7620
Total Compensation Average,104997,97336,116166
Total Compensation 25th Percentile,77515,76208,97118
Total Compensation Median,94703,90107,113077
Total Compensation 75th Percentile,125171,113024,140286
Admissions Officer,,,
Number,86,44,37
Average Salary,67191,64941,75027
Median Salary,64186,60284,75000
Average Salary and Housing,68561,65890,75567
Average Benefits,9608,8383,12875
Average Pension,5496,4792,5779
Total Compensation Average,83666,79066,94222
Total Compensation 25th Percentile,61558,52622,70651
Total Compensation Median,84078,72464,98055
Total Compensation 75th Percentile,98933,93486,114733
Recruitment Officer,,,
Number,53,19,13
Average Salary,69210,53820,77328
Median Salary,66340,48263,76518
Average Salary and Housing,70664,-,78098
Average Benefits,9007,7263,14025
Average Pension,6039,3693,5374
Total Compensation Average,85711,64777,97497
Total Compensation 25th Percentile,67246,49795,55575
Total Compensation Median,80608,60278,102200
Total Compensation 75th Percentile,100816,80071,119620
