"Table 2.9 Head Count Enrollment by Race or Ethnic Group, Degree, and Gender",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21
All Member Schools,,,,,,,,,,,,,,,,,,,,,
Racial/Ethnic Category,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,
,Degree Program,M,F,O,Total,M,F,O,Total,M,F,O,Total,M,F,O,Total,M,F,O,Total
Multi-Racial,,,,,,,,,,,,,,,,,,,,,
,MDiv,332,229,0,561,382,218,0,600,395,260,0,655,333,204,7,544,316,170,12,498
,MA,234,269,0,503,270,320,0,590,315,352,0,667,250,257,2,509,227,286,13,526
,ThM / STM,24,6,0,30,13,5,0,18,20,9,0,29,14,5,0,19,20,5,0,25
,DMin and Other Dr,71,34,0,105,105,41,0,146,113,58,0,171,106,62,2,170,109,60,1,170
,PhD / ThD,62,18,0,80,67,24,0,91,53,17,0,70,49,24,0,73,60,19,0,79
,Non-Degrees,37,41,0,78,49,41,0,90,81,22,0,103,38,19,0,57,37,27,0,64
,Subtotal,760,597,0,1357,886,649,0,1535,977,718,0,1695,790,571,11,1372,769,567,26,1362
Not Reported,,,,,,,,,,,,,,,,,,,,,
,MDiv,1854,968,0,2822,2035,1000,0,3035,2015,1050,0,3065,1860,939,86,2885,1868,816,167,2851
,MA,1638,1388,0,3026,1782,1578,0,3360,1725,1636,0,3361,1742,1792,67,3601,1817,1742,125,3684
,ThM / STM,129,36,0,165,210,42,0,252,165,30,0,195,198,45,5,248,149,43,7,199
,DMin and Other Dr,663,196,0,859,954,237,0,1191,873,270,0,1143,1011,324,5,1340,1010,327,37,1374
,PhD / ThD,328,121,0,449,345,122,0,467,214,55,0,269,200,50,1,251,225,45,2,272
,Non-Degrees,697,470,0,1167,572,340,0,912,518,405,0,923,555,415,75,1045,480,362,55,897
,Subtotal,5309,3179,0,8488,5898,3319,0,9217,5510,3446,0,8956,5566,3565,239,9370,5549,3335,393,9277
Total,,,,,,,,,,,,,,,,,,,,,
,MDiv,21472,9294,0,30766,21469,9256,0,30725,21090,9297,0,30387,19900,8864,271,29035,19195,8031,409,27635
,MA,14669,11772,0,26441,14255,11983,0,26238,14555,12626,0,27181,14562,12800,147,27509,14638,12712,439,27789
,ThM / STM,1523,310,0,1833,1051,191,0,1242,1052,198,0,1250,1091,222,20,1333,1072,225,18,1315
,DMin and Other Dr,7591,2301,0,9892,8239,2511,0,10750,8221,2754,0,10975,8741,3090,17,11848,8982,3253,70,12305
,PhD / ThD,3095,942,0,4037,3180,940,0,4120,3024,915,0,3939,3054,953,10,4017,3134,963,16,4113
,Non-Degrees,2932,1903,0,4835,2705,1717,0,4422,2664,1684,0,4348,2736,1918,92,4746,2800,1813,81,4694
Total,,51282,26522,0,77804,50899,26598,0,77497,50606,27474,0,78080,50084,27847,557,78488,49821,26997,1033,77851
