United States,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
"Race/Ethnicity
Faculty Rank",,2018,,,2019,,,2020,,,2021,,,2022,,
,,M,F,O,M,F,O,M,F,O,M,F,O,M,F,O
"Asian or Pacific
Islander",Professor,56,11,0,63,12,0,68,15,0,73,17,0,81,17,0
,Associate Professor,52,34,0,54,28,0,53,24,0,60,24,0,56,25,0
,Assistant Professor,43,17,0,40,23,0,50,26,0,47,26,0,53,29,0
,Others,7,3,0,7,3,0,12,4,0,12,5,0,11,4,0
,Total,158,65,0,164,66,0,183,69,0,192,72,0,201,75,0
Black Non-Hispanic,Professor,55,20,0,56,22,0,60,23,0,59,23,0,61,30,0
,Associate Professor,55,22,0,56,22,0,49,27,0,53,35,0,52,36,0
,Assistant Professor,37,42,0,39,48,0,41,44,0,47,46,0,53,48,0
,Others,16,10,0,16,12,0,11,10,0,9,7,0,10,8,0
,Total,163,94,0,167,104,0,161,104,0,168,111,0,176,122,0
Hispanic,Professor,35,8,0,35,7,0,35,9,0,36,9,0,42,10,0
,Associate Professor,38,6,0,39,5,0,39,3,0,47,5,0,41,5,0
,Assistant Professor,27,12,0,31,14,0,27,16,0,24,16,0,30,14,0
,Others,7,5,0,4,6,0,3,9,0,4,6,0,6,10,0
,Total,107,31,0,109,32,0,104,37,0,111,36,0,119,39,0
"American Indian,
Alaskan Native or
Inuit",Professor,1,0,0,1,0,0,1,0,0,1,1,0,2,1,0
,Associate Professor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Assistant Professor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Others,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Total,2,2,0,1,0,0,1,0,0,1,1,0,2,1,0
"Visa or Nonresident
Alien",Professor,4,1,0,1,1,0,2,0,0,3,0,0,4,1,0
,Associate Professor,7,1,0,6,1,0,5,1,0,3,2,0,4,1,0
,Assistant Professor,2,5,0,3,5,0,4,4,0,4,2,0,4,2,0
,Others,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,Total,13,7,0,10,7,0,11,5,0,10,5,0,12,4,0
White Non-Hispanic,Professor,931,205,0,895,191,0,864,187,0,830,178,0,795,173,0
,Associate Professor,429,165,0,411,160,0,395,142,0,402,145,0,387,144,0
,Assistant Professor,322,113,0,303,106,0,265,115,0,223,118,0,238,127,0
,Others,134,58,0,126,61,0,114,52,0,109,42,0,96,32,0
,Total,"1,816",541,0,"1,735",518,0,"1,638",496,0,"1,564",483,0,"1,516",476,0
Multiracial,Professor,1,1,0,2,1,0,3,2,0,4,2,0,4,2,0
,Associate Professor,8,0,0,8,1,0,5,4,0,4,3,0,5,3,0
,Assistant Professor,1,4,0,3,4,0,3,2,0,2,2,0,3,3,0
,Others,1,1,0,0,2,0,0,1,0,0,1,0,2,1,0
,Total,11,6,0,13,8,0,11,9,0,10,8,0,14,9,0
Not Available,Professor,8,3,0,6,5,0,7,6,0,13,5,0,7,6,0
,Associate Professor,12,3,0,9,4,0,14,3,0,13,1,0,9,3,0
,Assistant Professor,11,3,0,14,4,0,13,6,0,11,5,0,21,5,0
,Others,11,2,0,9,2,0,8,0,0,5,0,0,5,0,0
,Total,42,11,0,38,15,0,42,15,0,42,11,0,42,14,0
Total Faculty,Professor,"1,091",249,0,"1,059",239,0,"1,040",242,0,"1,019",235,0,996,240,0
,Associate Professor,602,231,0,583,221,0,560,204,0,582,215,0,554,217,0
,Assistant Professor,443,197,0,433,204,0,403,213,0,358,215,0,402,228,0
,Others,176,80,0,162,86,0,148,76,0,139,62,0,130,55,0
,Total,"2,312",757,0,"2,237",750,0,"2,151",735,0,"2,098",727,0,"2,082",740,0
