"Table 2.12 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2022",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,MA,,ThM/STM,,"DMin/Other
Prof Dr",,PhD/ThD,,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
"Central Baptist Theological Seminary of
Minneapolis",,38,19,28,13,0,0,6,2,0,0,0,0,72,34
Chapman Seminary,,3,2,2,1,0,0,5,2,0,0,0,0,10,5
Chicago Theological Seminary,,154,37,42,11,2,2,0,0,32,32,7,2,237,84
China Evangelical Seminary North America,,20,15,60,27,4,2,4,1,0,0,7,2,95,47
Christ School of Theology,,14,10,19,12,13,8,21,7,25,25,3,1,95,63
Christian Theological Seminary,,31,20,67,51,0,0,27,9,20,20,6,2,151,102
Christian Witness Theological Seminary,,22,11,40,18,2,1,13,4,0,0,9,3,86,37
Church Divinity School of the Pacific,,51,43,10,3,0,0,0,0,0,0,5,2,66,48
Claremont School of Theology,,63,40,7,2,0,0,52,17,74,74,5,2,201,135
Colgate Rochester Crozer Divinity School,,18,11,1,1,0,0,19,6,0,0,2,1,40,19
Columbia Biblical Seminary,,76,129,313,133,0,0,35,35,0,0,0,0,424,297
Columbia Theological Seminary,,105,87,27,18,7,6,108,49,0,0,0,0,247,160
Concordia Lutheran Seminary (AB),,5,5,0,0,0,0,0,0,0,0,1,1,6,6
Concordia Lutheran Theological Seminary (ON),,8,4,7,3,0,0,0,0,0,0,3,1,18,8
Concordia Seminary (MO),,179,136,44,27,18,5,43,14,100,100,198,71,582,353
Concordia Theological Seminary (IN),,160,116,36,26,16,10,10,3,29,29,43,14,294,198
Covenant Theological Seminary,,163,96,340,170,12,3,75,25,0,0,27,6,617,300
Crown College Graduate School of Ministry,,33,29,82,77,0,0,0,0,0,0,0,0,115,106
Dallas Theological Seminary,,516,411,1677,1033,4,3,223,141,88,88,65,25,2573,1701
Denver Seminary,,288,134,423,235,11,6,92,31,18,18,42,18,874,442
Dickerson-Green Theological Seminary,,54,47,0,0,0,0,0,0,0,0,0,0,54,47
Dominican House of Studies,,49,45,10,8,0,0,0,0,0,0,0,0,59,53
Dominican School of Philosophy and Theology,,19,18,23,19,0,0,0,0,0,0,18,15,60,52
Drew University Theological School,,158,144,28,24,12,7,113,38,53,53,23,8,387,274
Duke University Divinity School,,379,379,86,82,10,8,121,40,37,37,20,20,653,566
Earlham School of Religion,,23,15,19,13,0,0,0,0,0,0,9,3,51,31
Eastern Mennonite Seminary,,22,13,12,6,0,0,0,0,0,0,10,5,44,24
Ecumenical Theological Seminary,,14,9,13,7,0,0,28,9,0,0,10,7,65,32
Eden Theological Seminary,,41,33,11,9,0,0,32,11,0,0,9,3,93,56
Emmanuel Christian Seminary,,51,32,32,30,0,0,9,3,0,0,1,0,93,65
Emmanuel College,,22,13,103,57,0,0,10,3,33,33,4,4,172,110
Erskine Theological Seminary,,31,15,18,11,13,5,39,13,0,0,3,1,104,45
Evangelia University Graduate School of Theology,,104,79,16,12,0,0,33,27,0,0,0,0,153,118
Franciscan School of Theology,,23,20,47,25,0,0,0,0,0,0,0,0,70,45
"Freed-Hardeman University Graduate School of
Theology",,22,16,40,26,0,0,4,1,0,0,0,0,66,43
Fresno Pacific Biblical Seminary,,14,10,95,70,0,0,0,0,0,0,0,0,109,80
Fuller Theological Seminary,,502,231,672,265,4,2,1041,426,113,113,38,10,2370,1047
Garrett-Evangelical Theological Seminary,,91,69,64,50,0,0,50,17,54,54,21,7,280,197
Gateway Seminary,,271,121,366,159,12,10,185,62,23,23,822,431,1679,806
General Theological Seminary,,22,16,12,8,2,1,9,3,0,0,5,3,50,31
George W. Truett Theological Seminary,,212,191,58,49,0,0,72,24,0,0,4,0,346,264
Georgia Central University School of Divinity,,42,12,44,24,0,0,26,9,14,14,0,0,126,59
GETS Theological Seminary,,0,0,81,26,0,0,8,3,0,0,0,0,89,29
Gordon-Conwell Theological Seminary,,275,156,567,271,27,14,257,86,0,0,208,79,1334,606
Grace Mission University Graduate School,,112,88,66,47,0,0,26,26,37,37,0,0,241,198
Grace School of Theology,,162,110,236,131,3,1,21,7,0,0,2,1,424,250
Grace Theological Seminary,,65,57,103,85,0,0,55,33,0,0,0,0,223,175
