United States,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2012,,2017,,2021,,2022,
Enrollment size,N,%,N,%,N,%,N,%
< 75,37,16%,49,21%,51,22%,58,24%
75 - 150,64,28%,67,28%,65,28%,68,28%
151 - 300,68,30%,65,27%,62,27%,61,25%
301 - 500,27,12%,28,12%,28,12%,26,11%
501 - 1000,17,8%,12,5%,13,6%,14,6%
> 1000,12,5%,15,6%,14,6%,14,6%
Not Reporting,3,1%,1,0%,1,0%,3,1%
Total,228,100%,237,100%,234,100%,244,100%
