All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6
Category,,MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD
Applications,,,,,,
,2021,12344,14489,964,4675,2211
,2022,12778,15218,1108,5495,2407
Acceptances,,,,,,
2021,,9211,10117,700,3136,798
,% of applications,75%,70%,73%,67%,36%
2022,,9592,10176,740,3085,958
,% of applications,75%,67%,67%,56%,40%
New Enrollees,,,,,,
2021,,6285,7171,465,2505,576
,% of acceptances,68%,71%,66%,80%,72%
2022,,6112,7169,508,2467,729
,% of acceptances,64%,71%,69%,80%,76%
