All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6
,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Director of Field Education,,,,,,
Number,41,43,25,11,4,2
Average Salary,58177,65892,70608,83314,82223,-
Median Salary,65000,64700,68991,86700,86250,-
Average Salary and Housing,62239,68911,74663,83314,82223,-
Average Benefits,10044,11934,25003,9310,16048,-
Average Pension,4305,5849,5241,7602,5328,-
Total Compensation Average,76589,86696,104908,100227,103600,-
Total Compensation 25th Percentile,61189,75006,82355,73163,69561,-
Total Compensation Median,81600,88705,96461,100862,109900,-
Total Compensation 75th Percentile,100392,101016,111628,118675,110916,-
Director of Continuing Education,,,,,,
Number,8,14,16,8,1,-
Average Salary,67971,78430,76966,101717,-,-
Median Salary,66623,73468,70040,85078,-,-
Average Salary and Housing,75549,83715,79122,101717,-,-
Average Benefits,14535,13008,13817,12705,-,-
Average Pension,6092,5904,6270,9719,-,-
Total Compensation Average,96178,102629,99210,124142,-,-
Total Compensation 25th Percentile,69009,83877,71514,91583,-,-
Total Compensation Median,92628,89711,97700,106240,-,-
Total Compensation 75th Percentile,106867,107106,118309,140863,-,-
Director of Formation,,,,,,
Number,24,49,17,9,4,5
Average Salary,56931,71504,71771,111493,106144,118085
Median Salary,54452,68250,78500,114400,98640,125000
Average Salary and Housing,60485,79402,75594,111493,106144,121385
Average Benefits,8588,13490,37912,16776,12751,6031
Average Pension,5878,7348,4408,10796,7622,11207
Total Compensation Average,74952,100240,117915,139067,126518,138625
Total Compensation 25th Percentile,59556,86148,77896,88280,117300,77173
Total Compensation Median,69009,98000,91611,146203,125749,146841
Total Compensation 75th Percentile,87464,105227,152233,160801,128592,162277
Head Librarian - Admin./Faculty,,,,,,
Number,47,42,23,10,5,3
Average Salary,59643,73549,79708,94773,73052,86475
Median Salary,62819,71605,72736,86100,84000,-
Average Salary and Housing,61807,74690,81461,94773,73052,86475
Average Benefits,9991,10451,13336,14557,17250,5292
Average Pension,4887,6444,5429,8453,4244,8836
Total Compensation Average,76686,91586,100227,117784,94547,100604
Total Compensation 25th Percentile,52797,72451,81194,85261,33195,-
Total Compensation Median,77306,85601,97754,114341,107100,-
Total Compensation 75th Percentile,93600,108025,108096,136899,110264,-
