"Table 2.9 Head Count Enrollment by Race or Ethnic Group, Degree, and Gender",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21
All Member Schools,,,,,,,,,,,,,,,,,,,,,
Racial/Ethnic Category,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,
,Degree Program,M,F,O,Total,M,F,O,Total,M,F,O,Total,M,F,O,Total,M,F,O,Total
Native American,,,,,,,,,,,,,,,,,,,,,
,MDiv,90,33,0,123,90,32,0,122,75,30,0,105,64,26,1,91,60,26,1,87
,MA,61,48,0,109,57,49,0,106,49,37,0,86,65,43,0,108,70,46,0,116
,ThM / STM,5,2,0,7,3,1,0,4,3,1,0,4,3,0,0,3,2,0,0,2
,DMin and Other Dr,16,15,0,31,23,10,0,33,19,13,0,32,24,9,0,33,26,8,0,34
,PhD / ThD,7,4,0,11,4,5,0,9,7,6,0,13,9,8,0,17,6,5,0,11
,Non-Degrees,12,4,0,16,9,4,0,13,5,5,0,10,7,3,0,10,11,2,1,14
,Subtotal,191,106,0,297,186,101,0,287,158,92,0,250,172,89,1,262,175,87,2,264
Visa,,,,,,,,,,,,,,,,,,,,,
,MDiv,1883,469,0,2352,1789,436,0,2225,1860,480,0,2340,1743,436,5,2184,1766,467,36,2269
,MA,1232,875,0,2107,1112,842,0,1954,1248,933,0,2181,1059,811,22,1892,1260,839,35,2134
,ThM / STM,318,57,0,375,240,46,0,286,210,39,0,249,194,40,6,240,221,48,5,274
,DMin and Other Dr,1381,245,0,1626,1357,238,0,1595,1316,247,0,1563,1102,217,0,1319,1084,232,5,1321
,PhD / ThD,610,181,0,791,608,182,0,790,647,220,0,867,609,202,4,815,620,223,5,848
,Non-Degrees,386,186,0,572,227,134,0,361,210,120,0,330,184,73,4,261,193,65,5,263
,Subtotal,5810,2013,0,7823,5333,1878,0,7211,5491,2039,0,7530,4891,1779,41,6711,5144,1874,91,7109
White,,,,,,,,,,,,,,,,,,,,,
,MDiv,11934,4447,0,16381,11868,4427,0,16295,11304,4387,0,15691,10779,4209,111,15099,10221,3747,132,14100
,MA,7728,6228,0,13956,7347,6110,0,13457,7303,6392,0,13695,7239,6405,33,13677,7204,6293,197,13694
,ThM / STM,779,124,0,903,417,56,0,473,500,83,0,583,491,84,2,577,517,89,6,612
,DMin and Other Dr,3439,889,0,4328,3531,897,0,4428,3445,976,0,4421,3646,1124,6,4776,3720,1229,14,4963
,PhD / ThD,1631,428,0,2059,1634,425,0,2059,1587,430,0,2017,1606,444,2,2052,1568,436,2,2006
,Non-Degrees,1160,764,0,1924,1084,710,0,1794,1139,648,0,1787,1134,759,12,1905,1216,733,14,1963
,Subtotal,26671,12880,0,39551,25881,12625,0,38506,25278,12916,0,38194,24895,13025,166,38086,24446,12527,365,37338
