Table 2.7 Head Count Enrollment by Degree Category and Program,col_1,col_2,col_3,col_4,col_5
All Member Schools,,,,,
,2018,2019,2020,2021,2022
Master's Degree Programs,,,,,
MDiv,30766,30725,30387,29035,27635
MA (prof),13030,13360,13646,13787,13619
MA (acad),13411,12878,13535,11685,10343
MA (both),0,0,0,2037,3827
Subtotal MA,26441,26238,27181,27509,27789
ThM/MTh/STM,1833,1242,1250,1333,1315
Doctoral Degree Programs,,,,,
DMin,8695,9311,9400,10252,10797
Other Prof Dr,1197,1439,1575,1596,1508
Subtotal DMin and Other Prof Dr,9892,10750,10975,11848,12305
PhD/ThD,4037,4120,3939,4017,4113
Non-Degree Programs,,,,,
NonDegree,4835,4422,4348,4746,4694
Total,77804,77497,78080,78488,77851
