Canada,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2012,,2017,,2021,,2022,
Enrollment size,N,%,N,%,N,%,N,%
< 75,16,40%,12,31%,13,35%,14,37%
75 - 150,8,20%,15,39%,14,38%,13,34%
151 - 300,12,30%,8,21%,7,19%,7,18%
301 - 500,2,5%,2,5%,2,5%,2,5%
501 - 1000,1,3%,1,3%,1,3%,1,3%
> 1000,0,-,0,-,0,-,0,-
Not Reporting,1,3%,1,3%,0,-,1,3%
Total,40,100%,39,100%,37,100%,38,100%
