Table 5.3 Total Gifts for Capital Purposes by Category,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
,All Member Schools,,,United States,,,Canada,,
,"Amount
$000s",% of Total,,"Amount
$000s",% of Total,,"Amount
$000s",% of Total,
"Property, Buildings and Equipment",120497,40%,,117626,40%,,2872,35%,
Endow. and Sim. Funds: Unrestricted Income,31905,11%,,31775,11%,,130,2%,
Endow. and Sim. Funds: Restricted Income,152609,50%,,147431,50%,,5179,63%,
Loan Funds,2,0%,,2,0%,,0,0%,
Total,305013,100%,,296833,100%,,8181,100%,
All Member Schools and U.S. School amounts are in U.S. dollars. Canadian amounts reported in Canadian dollars.,,,,,,,,,
