All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Chief Executive Officer,,,
Number,134,59,42
Average Salary,148485,156694,206325
Median Salary,129186,145656,200000
Average Salary and Housing,155525,166861,216839
Average Benefits,13864,23137,20704
Average Pension,11274,10259,17463
Total Compensation Average,180663,200258,255008
Total Compensation 25th Percentile,110700,115827,138041
Total Compensation Median,158535,177085,246258
Total Compensation 75th Percentile,225333,249532,318260
Academic VP/Academic Dean,,,
Number,138,61,42
Average Salary,98113,95620,120547
Median Salary,95023,94592,125000
Average Salary and Housing,103565,98996,124054
Average Benefits,12510,13838,16949
Average Pension,8013,6845,9250
Total Compensation Average,124090,119679,150254
Total Compensation 25th Percentile,96055,88800,113250
Total Compensation Median,117963,114639,160355
Total Compensation 75th Percentile,152416,146365,184624
Academic Dean - Other,,,
Number,61,35,74
Average Salary,92369,89392,90138
Median Salary,90403,87196,83748
Average Salary and Housing,94154,-,91537
Average Benefits,9842,16415,18387
Average Pension,6106,6445,6668
Total Compensation Average,110104,112253,116593
Total Compensation 25th Percentile,90780,86866,97905
Total Compensation Median,103092,108460,114284
Total Compensation 75th Percentile,124415,131496,137555
Vice President for Administration,,,
Number,54,16,13
Average Salary,117844,116900,135155
Median Salary,106335,113462,140000
Average Salary and Housing,119690,121775,-
Average Benefits,10620,19314,17548
Average Pension,7121,6769,13874
Total Compensation Average,137432,147859,166578
Total Compensation 25th Percentile,102171,87464,131906
Total Compensation Median,124914,128978,171503
Total Compensation 75th Percentile,166213,172119,187761
