All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Dean of Students,,,
Number,69,22,29
Average Salary,77491,82839,96840
Median Salary,76470,82932,96019
Average Salary and Housing,83882,87434,100524
Average Benefits,13406,15649,20129
Average Pension,6840,6752,7330
Total Compensation Average,104129,109836,127984
Total Compensation 25th Percentile,78564,92319,95135
Total Compensation Median,105308,105524,123921
Total Compensation 75th Percentile,121300,131751,139477
Director of Student Services,,,
Number,43,25,14
Average Salary,66617,58853,68669
Median Salary,60000,56956,69472
Average Salary and Housing,68192,59868,74169
Average Benefits,6727,12584,13938
Average Pension,5470,3146,10459
Total Compensation Average,80391,75599,98567
Total Compensation 25th Percentile,60603,59444,77616
Total Compensation Median,77782,74332,89697
Total Compensation 75th Percentile,101381,91706,117300
Director of Graduate Studies,,,
Number,28,10,34
Average Salary,78570,94150,69199
Median Salary,77000,82621,68000
Average Salary and Housing,81657,-,76385
Average Benefits,11461,21329,11546
Average Pension,5192,3079,6183
Total Compensation Average,98311,118559,94114
Total Compensation 25th Percentile,56624,85800,78331
Total Compensation Median,101312,107407,96176
Total Compensation 75th Percentile,125000,157847,114327
Director of Doctor of Ministry,,,
Number,39,39,29
Average Salary,79823,73449,84539
Median Salary,83994,75214,84000
Average Salary and Housing,81776,75806,84663
Average Benefits,9861,11488,17185
Average Pension,5531,5024,6562
Total Compensation Average,97169,92319,108411
Total Compensation 25th Percentile,67000,78945,89035
Total Compensation Median,103078,88722,111962
Total Compensation 75th Percentile,117700,105878,124844
