Canada,col_1,col_2,col_3,col_4,col_5,col_6
Category,,MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD
Applications,,,,,,
,2021,519,924,86,111,84
,2022,499,798,81,103,54
Acceptances,,,,,,
2021,,402,779,72,65,55
,% of applications,78%,84%,84%,59%,66%
2022,,363,634,62,64,39
,% of applications,73%,79%,77%,62%,72%
New Enrollees,,,,,,
2021,,305,642,59,52,34
,% of acceptances,76%,82%,82%,80%,62%
2022,,281,463,43,47,22
,% of acceptances,77%,73%,69%,73%,56%
