col_0,col_1,col_2,col_3,Prov/,Church/,Expenditures,LT Invest,Faculty,col_9,Enrollment,col_11,MDiv
Name,Status,IUC,Race,State,Denom,$thousands,$millions,FT,FTE,HC,FTE,Tuition + Fees
Campbell University Divinity School,ACCRED,U,W,NC,CBF,1796,39,8,11,114,67,19040
Canadian Baptist Theological Seminary,ACCRED,C,W,AB,CNBC,2337,7,7,8,43,23,10060
Canadian Reformed Theological Seminary,ACCRED,I,W,ON,CANREF,1637,0,5,5,32,31,2600
Candler School of Theology,ACCRED,U,M,GA,UMC,29534,315,46,62,417,334,25498
Carey Theological College,ACCRED,I,N,BC,BAPTWC,1201,8,6,6,77,36,4340
Catholic Distance University Graduate School of Theology,ACCRED,U,W,WV,RC,2023,1,5,10,136,94,0
Catholic Theological Union,ACCRED,I,W,IL,RC,9463,37,24,28,214,142,26136
Catholic University of America School of Theology and Religious Studies,ACCRED,U,W,DC,RC,6071,0,35,35,232,188,33850
Central Baptist Theological Seminary,ACCRED,I,V,KS,ABCUSA,5717,0,16,48,287,200,7500
Central Baptist Theological Seminary of Minneapolis,ACCRED,I,W,MN,INDBAP,2376,3,3,8,72,34,8955
Chapman Seminary,ACCRED,U,W,IN,GENBAPT,582,0,4,4,10,4,8250
Chicago Theological Seminary,ACCRED,I,W,IL,UCC,7989,16,11,14,237,83,25680
China Evangelical Seminary North America,ACCRED,I,V,CA,NONDEN,2302,2,6,6,95,48,9704
Christ School of Theology,ASSOC,U,n/a,SD,INTER,408,1,3,6,95,62,10390
Christian Theological Seminary,ACCRED,I,W,IN,DISCPL,10194,144,15,18,151,103,12990
Christian Witness Theological Seminary,ACCRED,I,A,CA,INTER,1592,2,5,16,86,37,9650
Church Divinity School of the Pacific,ACCRED,I,W,CA,EPISC,6038,33,6,9,66,47,18010
Claremont School of Theology,ACCRED,I,W,CA,UMC,10540,20,15,22,201,135,27020
Colgate Rochester Crozer Divinity School,ACCRED,I,B,NY,ABCUSA,2949,19,4,7,40,19,3900
Columbia Biblical Seminary,ACCRED,C,A,SC,INTER,3402,6,7,8,424,297,14745
Columbia Theological Seminary,ACCRED,I,B,GA,PCUSA,16417,261,20,22,247,160,20240
Concordia Lutheran Seminary (AB),ACCRED,I,W,AB,LUTHCA,1052,6,3,4,6,6,13090
Concordia Lutheran Theological Seminary (ON),ACCRED,I,W,ON,LUTHCA,919,5,4,5,18,8,7202
Concordia Seminary (MO),ACCRED,I,W,MO,LUTHMS,30909,178,27,35,582,353,35410
Concordia Theological Seminary (IN),ACCRED,I,W,IN,LUTHMS,19924,77,19,22,294,198,33715
Covenant Theological Seminary,ACCRED,I,W,MO,PCA,11847,46,19,31,617,300,19605
Crown College Graduate School of Ministry,ASSOC,C,n/a,MN,CMA,27449,9,0,3,115,106,10910
Dallas Theological Seminary,ACCRED,I,W,TX,NONDEN,52914,114,61,90,2573,1702,0
Denver Seminary,ACCRED,I,W,CO,INTER,16636,44,30,39,874,441,17375
Dickerson-Green Theological Seminary,ASSOC,U,n/a,SC,AME,25419,6,1,2,54,47,9800
Dominican House of Studies,ACCRED,I,W,DC,RC,7571,9,19,20,59,53,17213
Dominican School of Philosophy and Theology,ACCRED,I,W,CA,RC,3566,8,13,16,60,52,20550
Drew University Theological School,ACCRED,U,M,NJ,UMC,14348,31,21,27,387,272,19012
Duke University Divinity School,ACCRED,U,W,NC,UMC,35499,278,40,54,653,566,28420
Earlham School of Religion,ACCRED,C,W,IN,FRNDS,2270,33,7,8,51,32,16750
