"Table 2.12 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2022",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,MA,,ThM/STM,,"DMin/Other
Prof Dr",,PhD/ThD,,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Wesley Biblical Seminary,,60,28,97,43,0,0,25,8,0,0,22,7,204,86
Wesley Seminary,,280,170,152,99,0,0,87,29,0,0,0,0,519,298
Wesley Theological Seminary,,149,96,67,45,0,0,141,47,0,0,0,0,357,188
Western Seminary,,154,89,518,302,42,8,92,57,0,0,0,0,806,456
Western Theological Seminary,,121,78,61,25,5,5,119,40,0,0,123,37,429,185
Westminster Theological Seminary,,222,146,569,333,29,12,95,32,44,44,27,15,986,582
Westminster Theological Seminary in California,,71,53,29,21,0,0,0,0,0,0,0,0,100,74
Winebrenner Theological Seminary,,22,17,74,74,0,0,13,4,0,0,0,0,109,95
Wisconsin Lutheran Seminary,,148,148,0,0,38,38,0,0,0,0,0,0,186,186
World Mission University School of Theology,,42,36,131,98,0,0,37,17,0,0,0,0,210,151
Wycliffe College,,41,19,63,19,8,2,1,0,54,54,21,6,188,100
Yale University Divinity School,,139,136,126,124,18,14,0,0,0,0,0,0,283,274
