Table 2.4 Total Credit Hour Enrollment,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
All Member Schools,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2018,276,"283,759","181,619","10,778","37,308","15,242","528,706","21,740","550,446"
2019,274,"281,155","170,520","5,304","36,542","15,241","508,762","27,167","535,929"
2020,274,"279,912","181,849","5,434","38,716","15,134","521,046","23,421","544,467"
2021,271,"259,148","181,074","6,374","48,029","16,294","510,919","23,835","534,754"
2022,282,"243,014","183,165","6,356","48,875","16,459","497,869","21,705","519,574"
United States,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2018,237,"256,951","162,844","10,434","36,297","15,139","481,665","17,242","498,907"
2019,235,"256,098","150,971","4,858","35,693","15,086","462,706","15,928","478,634"
2020,236,"257,281","157,961","5,078","37,581","14,860","472,761","16,085","488,846"
2021,234,"236,620","157,436","5,730","46,618","15,970","462,374","18,717","481,091"
2022,244,"222,299","158,329","5,674","47,484","16,061","449,847","17,416","467,263"
Canada,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2018,39,"26,808","18,774",345,"1,011",103,"47,041","4,498","51,540"
2019,39,"25,057","19,550",446,849,155,"46,057","11,239","57,295"
2020,38,"22,632","23,888",357,"1,135",274,"48,285","7,336","55,621"
2021,37,"22,528","23,638",644,"1,411",324,"48,545","5,118","53,663"
2022,38,"20,715","24,836",682,"1,391",398,"48,022","4,289","52,311"
Table 2.4 reports fall total credit hours enrollment over a five-year period.,,,,,,,,,
